step,Cor_feature_ij_00
49,0.75346601
99,0.712674797
149,0.475686997
199,0.920427918
249,0.878294289
299,0.691832781
349,0.917581439
399,0.859265268
449,0.559012771
499,0.75625515
549,0.806747496
599,0.738476515
649,0.644455433
699,0.591295362
749,0.693461239
799,0.625591338
849,0.611884296
899,0.606870592
949,0.567910612
999,0.612090766
1049,0.58435601
1099,0.572383344
1149,0.78523767
1199,0.88356936
1249,0.873469412
1299,0.664708257
1349,0.708832502
1399,0.907122254
1449,0.614556193
1499,0.660944819
1549,0.74246496
1599,0.812353551
1649,0.672466576
1699,0.894881129
1749,0.876985371
1799,0.657425761
1849,0.629327416
1899,0.815599561
1949,0.636645019
1999,0.707328916
2049,0.768221974
2099,0.630864561
2149,0.964857936
2199,0.908620477
2249,0.725564301
2299,0.946390986
2349,0.785608232
2399,0.79339397
2449,0.737951577
2499,0.769368112
2549,0.945601404
2599,0.643645942
2649,0.742678821
2699,0.730520189
2749,0.753222108
2799,0.951541662
2849,0.634397686
2899,0.895879447
2949,0.750726223
2999,0.8170439
3049,0.724005461
3099,0.696599901
3149,0.721870959
3199,0.785670519
3249,0.770297348
3299,0.763133705
3349,0.71851474
3399,0.788360417
3449,0.732465863
3499,0.740187049
3549,0.70279932
3599,0.735523462
3649,0.699427485
3699,0.658996284
3749,0.696098685
3799,0.668289483
3849,0.678732276
3899,0.682500303
3949,0.668165743
3999,0.68359977
4049,0.671888471
4099,0.631297052
4149,0.650934398
4199,0.636539221
4249,0.647317767
4299,0.776399255
4349,0.663337648
4399,0.840354502
4449,0.724943221
4499,0.708889008
4549,0.688377738
4599,0.690851808
4649,0.615314186
4699,0.638842165
4749,0.645516574
4799,0.638207257
4849,0.60789907
4899,0.640785277
4949,0.676926732
4999,0.655179679
5049,0.680520654
5099,0.622493982
5149,0.628027499
5199,0.623822987
5249,0.618426442
5299,0.583781898
5349,0.654257953
5399,0.683587313
5449,0.653375924
5499,0.650041342
5549,0.644494057
5599,0.657116592
5649,0.669061303
5699,0.653327584
5749,0.665011466
5799,0.650342166
5849,0.677107573
5899,0.659523129
5949,0.668452621
5999,0.649745703
6049,0.657340527
6099,0.678490639
6149,0.654380798
6199,0.662427962
6249,0.666601121
6299,0.65689832
6349,0.63599515
6399,0.665954173
6449,0.638227284
6499,0.561900556
6549,0.619793475
6599,0.619809389
6649,0.605113804
6699,0.707900763
6749,0.701641262
6799,0.695946217
6849,0.659158707
6899,0.663500011
6949,0.647691488
6999,0.673903584
7049,0.700246572
7099,0.694099486
7149,0.675735056
7199,0.660439312
7249,0.68130064
7299,0.662561417
7349,0.672365189
7399,0.666749835
7449,0.66532439
7499,0.673673213
7549,0.659698844
7599,0.669032693
7649,0.655682862
7699,0.65578407
7749,0.670425117
7799,0.677323699
7849,0.647609711
7899,0.649137914
7949,0.66857779
7999,0.662835121
8049,0.640491366
8099,0.64476949
8149,0.660631955
8199,0.652277946
8249,0.6568349
8299,0.645041227
8349,0.637363017
8399,0.660106122
8449,0.65875721
8499,0.650319338
8549,0.654421449
8599,0.648194849
8649,0.651330411
8699,0.661016047
8749,0.662332535
8799,0.651809216
8849,0.655386567
8899,0.653635621
8949,0.655938029
8999,0.646524489
9049,0.645657778
9099,0.639294803
9149,0.657824039
9199,0.65932703
9249,0.65572077
9299,0.64580667
9349,0.645883024
9399,0.653072834
9449,0.645653963
9499,0.65609169
9549,0.645968676
9599,0.657023251
9649,0.646245539
9699,0.646145225
9749,0.65243268
