step,Cov_batch_ik_01_emb
49,0.08441044390201569
99,0.19506517052650452
149,0.2633291482925415
199,0.1696203351020813
249,0.43664687871932983
299,0.32286059856414795
349,0.37716418504714966
399,0.2437010109424591
449,0.2277657687664032
499,0.16036221385002136
549,0.15237152576446533
599,0.14121899008750916
649,0.04910539090633392
699,0.08048257231712341
749,0.07158274948596954
799,0.05661293864250183
849,0.04268454760313034
899,0.042662858963012695
949,0.04102858901023865
999,0.027026141062378883
1049,0.026615293696522713
1099,0.020046647638082504
1149,0.017526952549815178
1199,0.013553446158766747
1249,0.012118722312152386
1299,0.011221639811992645
1349,0.011252570897340775
1399,0.008628121577203274
1449,0.008324474096298218
1499,0.00739656575024128
1549,0.005994035862386227
1599,0.005937422625720501
1649,0.005214235745370388
1699,0.004514634143561125
1749,0.0036979340948164463
1799,0.003466349560767412
1849,0.003082449547946453
1899,0.002487872028723359
1949,0.0024181935004889965
1999,0.0021867016330361366
2049,0.0020655812695622444
2099,0.0016093456652015448
2149,0.0014197251293808222
2199,0.0012385689187794924
2249,0.0011564706219360232
2299,0.0009469405049458146
2349,0.0008496858645230532
2399,0.0007821787148714066
2449,0.0005475232610478997
2499,0.0004954002797603607
2549,0.0004408425302244723
2599,0.000389692751923576
2649,0.00036682849167846143
2699,0.0003181724459864199
2749,0.0002905036380980164
2799,0.00025767809711396694
2849,0.00020465237321332097
2899,0.00018167967209592462
2949,0.00015767176228109747
2999,0.0001494532625656575
3049,0.0001371130783809349
3099,0.00012422684812918305
3149,0.0001073992534657009
3199,9.387571481056511e-05
3249,8.39526328491047e-05
3299,7.445485243806615e-05
3349,5.882162804482505e-05
3399,5.8027570048579946e-05
3449,5.1871626055799425e-05
3499,5.20063767908141e-05
3549,4.2404280975461006e-05
3599,3.8688780477968976e-05
3649,3.5507517168298364e-05
3699,3.073443440371193e-05
3749,2.6617588446242735e-05
3799,2.5464411010034382e-05
3849,2.2275489754974842e-05
3899,2.0277522708056495e-05
3949,1.8492359231458977e-05
3999,1.540934681543149e-05
4049,1.4906067917763721e-05
4099,1.2484713806770742e-05
4149,1.2163161954958923e-05
4199,1.1527534297783859e-05
4249,9.657984264777042e-06
4299,8.700334547029343e-06
4349,7.823045052646194e-06
4399,6.999144261499168e-06
4449,6.775523615942802e-06
4499,6.212004336703103e-06
4549,5.631532530969707e-06
4599,5.370611233956879e-06
4649,4.705056653619977e-06
4699,4.037677626911318e-06
4749,3.7162731132411864e-06
4799,3.5514049159246497e-06
4849,3.351201030454831e-06
4899,2.909058366640238e-06
4949,2.673430117283715e-06
4999,2.232800397905521e-06
5049,2.4316639155586017e-06
5099,2.0635650344047463e-06
5149,1.830167775551672e-06
5199,1.8825273855327396e-06
5249,1.5801028894202318e-06
5299,1.564162857903284e-06
5349,1.4590098089684034e-06
5399,1.3281379551699501e-06
5449,1.317779833698296e-06
5499,1.2242126103956252e-06
5549,1.0825330036823289e-06
5599,1.067177777258621e-06
5649,9.60850002229563e-07
5699,9.477492994847125e-07
5749,8.24826713596849e-07
5799,8.117913239402696e-07
5849,8.094929171420517e-07
5899,7.409373097289063e-07
5949,6.849242026873981e-07
5999,6.447648956964258e-07
6049,5.226370376476552e-07
6099,5.777047249466705e-07
6149,5.456166149997443e-07
6199,4.93652692057367e-07
6249,5.279829338178388e-07
6299,4.498845100897597e-07
6349,4.842196403842536e-07
6399,4.480288282593392e-07
6449,3.82038564339382e-07
6499,4.2441979530849494e-07
6549,3.880047358961747e-07
6599,3.653238707101991e-07
6649,3.974037952048093e-07
6699,3.6774250133930764e-07
6749,3.720132895068673e-07
6799,3.5395549957684125e-07
6849,3.4974758023054164e-07
6899,3.104582333435246e-07
6949,2.8430298470993876e-07
6999,3.235464589579351e-07
7049,3.227878835332376e-07
7099,2.8174244448564423e-07
7149,3.028779929081793e-07
7199,2.709016939661524e-07
7249,3.011960245657974e-07
7299,2.7789531031885417e-07
7349,2.913600383180892e-07
7399,2.6520226015236403e-07
7449,2.516971449040284e-07
7499,2.3447762487194268e-07
7549,2.702359438444546e-07
7599,2.4997933678605477e-07
7649,2.583864215921494e-07
7699,2.3106277069473435e-07
7749,2.2800625743002456e-07
7799,2.3324273001890106e-07
7849,2.525800937291933e-07
7899,2.3723637809780485e-07
7949,2.387672566328547e-07
7999,2.1251898374430311e-07
8049,1.9792321381828515e-07
8099,2.350967633901746e-07
8149,2.4096738115986227e-07
8199,2.1306597375314595e-07
8249,2.332095903057052e-07
8299,2.1578659925580723e-07
8349,2.0910617593017378e-07
8399,2.086053285665912e-07
8449,2.2241960095925606e-07
8499,2.2217801642909762e-07
8549,2.1221978840912925e-07
8599,2.053878347396676e-07
8649,1.9918857674383617e-07
8699,2.1364856195305038e-07
8749,2.1147519646547153e-07
8799,2.0248765508767974e-07
8849,2.0668315414695826e-07
8899,2.1469716671163042e-07
8949,1.9696867070706503e-07
8999,1.998165117811368e-07
9049,2.0621274643417564e-07
9099,1.9981686705250468e-07
9149,1.9160266617745947e-07
9199,1.975711256818613e-07
9249,1.9692980401941895e-07
9299,1.8837199888821488e-07
9349,1.948143903973687e-07
9399,1.883134075342241e-07
9449,1.740361028623738e-07
9499,1.9088352587459667e-07
9549,1.7450372524763225e-07
9599,1.7093876181206724e-07
9649,1.7019408460328123e-07
9699,1.5230867234095058e-07
9749,1.6786282230896177e-07
9799,1.9324895106365148e-07
9849,1.6914111711230362e-07
9899,1.7105836036535038e-07
9949,1.545186449902758e-07
9999,1.7861393075691012e-07
10049,1.7063203472389432e-07
10099,1.6244365497186664e-07
10149,1.6266372426798625e-07
10199,1.4549937077390496e-07
10249,1.6789354617685603e-07
10299,1.415432393514493e-07
10349,1.4577418028238753e-07
10399,1.363174106927545e-07
10449,1.557267950147434e-07
10499,1.4276226067977404e-07
10549,1.405028910994588e-07
10599,1.5262415331562806e-07
10649,1.450023887628049e-07
10699,1.4300417205959093e-07
10749,1.6163701843652234e-07
10799,1.4449072693878406e-07
10849,1.434765124486148e-07
10899,1.4261578940022446e-07
10949,1.302453256357694e-07
10999,1.3747120419793646e-07
11049,1.3817194144394307e-07
11099,1.3437841062113876e-07
11149,1.3010969723836752e-07
11199,1.3764453399289778e-07
11249,1.3970026202514418e-07
11299,1.2856911268954718e-07
11349,1.3596954318018106e-07
11399,1.3528861586564744e-07
11449,1.307483330492687e-07
11499,1.260962108062813e-07
11549,1.2286717776532896e-07
11599,1.3401582066308038e-07
11649,1.2198964327581052e-07
11699,1.2155769013588724e-07
11749,1.1713304814975345e-07
11799,1.2417299899425416e-07
11849,1.2202605148559087e-07
11899,1.122840060929775e-07
11949,1.2082375633326592e-07
11999,1.1881209616149135e-07
12049,1.0984064147123718e-07
12099,1.235464424098609e-07
12149,1.1336162231145863e-07
12199,1.2807934979264246e-07
12249,1.1846493919165368e-07
12299,1.1055055182396245e-07
12349,1.074179323268254e-07
12399,1.1828108625877576e-07
12449,1.1831306778731232e-07
12499,1.0607152489683358e-07
12549,1.218122918089648e-07
12599,1.1537191824118054e-07
12649,1.1178839542935748e-07
12699,1.1139511002511426e-07
12749,1.2005119742752868e-07
12799,9.716703175399743e-08
12849,1.0460079380436582e-07
12899,1.0788623683311016e-07
12949,1.041398718371056e-07
12999,1.071827426812888e-07
13049,9.77074137153977e-08
13099,1.0205434364252142e-07
13149,1.0197521760346717e-07
13199,9.685761881428334e-08
13249,9.46042462146579e-08
13299,9.626673147522524e-08
13349,9.428497094177146e-08
13399,9.44107867439925e-08
13449,9.061999151072087e-08
13499,8.433336518010037e-08
13549,8.32373387993357e-08
13599,8.914133786674938e-08
13649,8.863374034717708e-08
13699,8.489430314284618e-08
13749,8.415081254042889e-08
13799,8.152817088102893e-08
13849,8.102278314936484e-08
13899,8.91224658516876e-08
13949,7.625797593391326e-08
13999,7.89661385169893e-08
14049,7.920166922303906e-08
14099,8.173500987140869e-08
14149,8.595915801379306e-08
14199,7.458831419171474e-08
14249,7.465283857754912e-08
14299,7.941117985410528e-08
14349,7.469861884601414e-08
14399,7.326731576995371e-08
14449,7.491091480460454e-08
14499,7.549090241809608e-08
14549,7.049468564446215e-08
