step,Cov_batch_ik_00
49,0.000523038674145937
99,0.011198194697499275
149,0.010092062875628471
199,0.04732692614197731
249,0.02659037709236145
299,0.01219435129314661
349,0.02259797975420952
399,0.08365775644779205
449,0.025629576295614243
499,0.07395398616790771
549,0.0017422125674784184
599,0.007027710787951946
649,0.00936514139175415
699,0.0057832784950733185
749,0.007994539104402065
799,0.0036738349590450525
849,0.005246450658887625
899,0.0020515962969511747
949,0.0037167773116379976
999,0.001231428817845881
1049,0.0003345776058267802
1099,0.0006702019018121064
1149,0.0006588808028027415
1199,0.00029383139917626977
1249,0.0003083972551394254
1299,0.00013407324149738997
1349,0.0003513656265567988
1399,0.00015370352775789797
1449,0.00019287795294076204
1499,0.00010602420661598444
1549,0.00014560746785718948
1599,7.698662375332788e-05
1649,5.8120989706367254e-05
1699,3.528256274876185e-05
1749,2.5867884687613696e-05
1799,1.8712918972596526e-05
1849,1.9905994122382253e-05
1899,1.2689378309005406e-05
1949,1.4051563084649388e-05
1999,9.546983164909761e-06
2049,8.684423846716527e-06
2099,7.695712156419177e-06
2149,6.092121111578308e-06
2199,5.278005119180307e-06
2249,4.849843662668718e-06
2299,4.073316631547641e-06
2349,3.443079549469985e-06
2399,3.188094751749304e-06
2449,2.361347469559405e-06
2499,2.2426042960432824e-06
2549,1.804347107281501e-06
2599,1.4896525044605369e-06
2649,1.3408392760538845e-06
2699,1.1924846603506012e-06
2749,1.0373254326623282e-06
2799,8.384840270991845e-07
2849,7.599372224831313e-07
2899,6.737661237821158e-07
2949,5.678063530467625e-07
2999,4.805258413398406e-07
3049,4.259258048477932e-07
3099,3.794455096794991e-07
3149,3.288596701622737e-07
3199,2.8169617394269153e-07
3249,2.3904885892989114e-07
3299,2.2521439291267598e-07
3349,1.7506323501947918e-07
3399,1.554357851318855e-07
3449,1.4639059031651414e-07
3499,1.1605238370293591e-07
3549,1.0619140766721102e-07
3599,9.194747718765939e-08
3649,8.212653312966722e-08
3699,7.30539824189691e-08
3749,6.445542766186918e-08
3799,5.403949998594726e-08
