step,Cov_batch_ik_01_emb
49,0.05423466116189957
99,0.04469451308250427
149,0.040929827839136124
199,0.03350931406021118
249,0.02980804815888405
299,0.02272021397948265
349,0.02572782151401043
399,0.022453168407082558
449,0.019905785098671913
499,0.01954977959394455
549,0.016161847859621048
599,0.016869928687810898
649,0.014072079211473465
699,0.014843329787254333
749,0.01188722625374794
799,0.011893408372998238
849,0.01117757335305214
899,0.009813955053687096
949,0.009789573960006237
999,0.008075475692749023
1049,0.00762559287250042
1099,0.006429629400372505
1149,0.005602977238595486
1199,0.005369451362639666
1249,0.00462063355371356
1299,0.004615585319697857
1349,0.003839502576738596
1399,0.00359942764043808
1449,0.0032547153532505035
1499,0.0027524270117282867
1549,0.0024075000546872616
1599,0.0021154950372874737
1649,0.0018556928262114525
1699,0.001691548153758049
1749,0.0015538232401013374
1799,0.0014278660528361797
1849,0.0013410842511802912
1899,0.0012566176010295749
1949,0.0011565641034394503
1999,0.000850206590257585
2049,0.0007559913792647421
2099,0.000713244779035449
2149,0.0006621693610213697
2199,0.0006047640927135944
2249,0.00048081076238304377
2299,0.0004177668015472591
2349,0.0004109827277716249
2399,0.00036306068068370223
2449,0.00033608247758820653
2499,0.0003071812679991126
2549,0.00026666373014450073
2599,0.0002464425633661449
2649,0.00020894520275760442
2699,0.0001920331415021792
2749,0.0001628518512006849
2799,0.00016065117961261421
2849,0.00013508280972018838
2899,0.00014161528088152409
2949,0.00012292386963963509
2999,0.00011673010885715485
3049,9.919091098709032e-05
3099,9.167622192762792e-05
3149,8.704041829332709e-05
3199,9.266901179216802e-05
3249,6.735297210980207e-05
3299,7.046188693493605e-05
3349,5.7975244999397546e-05
3399,4.9787900934461504e-05
3449,5.0462585932109505e-05
3499,4.1177412640536204e-05
3549,4.4957647332921624e-05
3599,3.860273864120245e-05
3649,3.446935807005502e-05
3699,3.14169010380283e-05
3749,3.08965754811652e-05
3799,2.8097298127249815e-05
3849,2.4445414965157397e-05
3899,2.3870943550718948e-05
3949,2.4381824914598837e-05
3999,2.0679604858742096e-05
4049,2.113926166202873e-05
4099,1.8772927433019504e-05
4149,1.5199868357740343e-05
4199,1.5154773791437037e-05
4249,1.4540811207552906e-05
4299,1.4899366760801058e-05
4349,1.4651443052571267e-05
4399,1.1184851246071048e-05
4449,1.1070220352848992e-05
4499,1.1227187314943876e-05
4549,1.0212756933469791e-05
4599,1.0031009878730401e-05
4649,9.393735126650427e-06
4699,9.100258466787636e-06
4749,9.612205758458003e-06
4799,8.230384992202744e-06
4849,7.951417501317337e-06
4899,7.849506800994277e-06
4949,7.437806743837427e-06
4999,6.9272800828912295e-06
5049,7.066415491863154e-06
5099,6.568535354745109e-06
5149,6.335408670565812e-06
5199,6.044959263817873e-06
5249,5.980000423733145e-06
5299,5.7451816246612e-06
5349,5.743502697441727e-06
5399,5.6478652368241455e-06
5449,5.422105004981859e-06
5499,5.423458787845448e-06
5549,4.95965514346608e-06
5599,5.17897933605127e-06
5649,5.102770956000313e-06
5699,5.522295396076515e-06
5749,5.433328169601737e-06
5799,5.272319867799524e-06
5849,4.6978238970041275e-06
5899,4.60555884274072e-06
5949,4.854601229453692e-06
5999,4.329982402850874e-06
6049,4.426498435350368e-06
6099,5.098318069940433e-06
6149,4.933387117489474e-06
6199,4.615102625393774e-06
6249,4.346363311924506e-06
6299,4.742011697089765e-06
6349,4.955719305144157e-06
6399,4.839534994971473e-06
6449,4.719113348983228e-06
6499,4.9060327000916e-06
6549,4.630023795471061e-06
6599,4.797605470230337e-06
6649,4.358444130048156e-06
6699,4.545981482806383e-06
6749,4.253526640241034e-06
6799,4.459786396182608e-06
