step,Cov_batch_ik_00
49,0.016193442046642303
99,0.016678743064403534
149,0.013713999651372433
199,0.011113354936242104
249,0.011806764639914036
299,0.010258887894451618
349,0.00858317594975233
399,0.007916755974292755
449,0.007052940782159567
499,0.0058960821479558945
549,0.005019003059715033
599,0.0048853629268705845
649,0.004249173682183027
699,0.003507079556584358
749,0.0033884334843605757
799,0.0030209869146347046
849,0.0027989225927740335
899,0.0024009947665035725
949,0.0020261388272047043
999,0.0019274839432910085
1049,0.001551105990074575
1099,0.001586592523381114
1149,0.0013591867173090577
1199,0.0011347581166774035
1249,0.0010209830943495035
1299,0.0008021244429983199
1349,0.0007855520234443247
1399,0.0007303280872292817
1449,0.0006383904838003218
1499,0.0005821305094286799
1549,0.000502653478179127
1599,0.00046849431237205863
1649,0.0004080741782672703
1699,0.00035786681110039353
1749,0.0003219616774003953
1799,0.0002784140524454415
1849,0.00023885782866273075
1899,0.000210115424124524
1949,0.00021062356245238334
1999,0.00018865072343032807
2049,0.00016897908062674105
2099,0.0001542450045235455
2149,0.00013180513633415103
2199,0.00011772444122470915
2249,0.00011133954831166193
2299,9.501900058239698e-05
2349,8.384789543924853e-05
2399,8.20663699414581e-05
2449,7.615000504301861e-05
2499,6.726953870384023e-05
2549,6.0889382439199835e-05
2599,5.7386961998417974e-05
2649,5.302659701555967e-05
2699,4.421156336320564e-05
2749,3.969431418227032e-05
2799,3.5398676118347794e-05
2849,3.3576088753761724e-05
2899,2.991383007611148e-05
2949,3.079186353716068e-05
2999,2.508870056772139e-05
3049,2.3638469428988174e-05
3099,2.1269404896884225e-05
3149,1.8845157683244906e-05
3199,1.6977750419755466e-05
3249,1.6876039808266796e-05
3299,1.5193866602203343e-05
3349,1.3671041415364016e-05
3399,1.328693178948015e-05
3449,1.1988884580205195e-05
3499,1.1198054380656686e-05
3549,1.036168760037981e-05
3599,1.001999498839723e-05
3649,9.460797627980355e-06
3699,7.928730155981611e-06
3749,7.2065272433974314e-06
3799,7.40735185900121e-06
3849,7.084307071636431e-06
3899,6.65733978166827e-06
3949,6.220588602445787e-06
3999,5.423550192062976e-06
4049,5.585874077951303e-06
4099,5.292198693496175e-06
4149,5.068541668151738e-06
4199,4.869010354013881e-06
4249,4.658095804188633e-06
4299,4.168708528595744e-06
4349,4.008245923614595e-06
4399,3.5098028092761524e-06
4449,3.964467396144755e-06
4499,3.219354312022915e-06
4549,3.331749439894338e-06
4599,3.2391519653174328e-06
4649,3.1895399388304213e-06
4699,2.9996899684192613e-06
4749,2.696292995096883e-06
4799,2.4172252324206056e-06
4849,2.4435328214167384e-06
4899,2.482666559444624e-06
4949,2.3584113932884065e-06
4999,2.30813498092175e-06
5049,2.2072417777962983e-06
5099,2.164811121474486e-06
5149,2.1667035525752e-06
5199,2.081330876535503e-06
5249,1.8399528016743716e-06
5299,1.8889556940848706e-06
5349,1.8467036397851189e-06
5399,1.7570059753779788e-06
5449,1.6960938182819518e-06
5499,1.5680250271543628e-06
5549,1.704433316263021e-06
5599,1.6496612715855008e-06
5649,1.6194543377423543e-06
5699,1.5281683545254054e-06
5749,1.4742661278432934e-06
5799,1.3541489352064673e-06
5849,1.3578135167335859e-06
5899,1.3908497749071103e-06
5949,1.3733191508435993e-06
5999,1.3183216651668772e-06
6049,1.3269368537294213e-06
6099,1.234849833053886e-06
6149,1.2875067341155955e-06
6199,1.2495445389504312e-06
6249,1.1902508276762092e-06
6299,1.2701440255113994e-06
6349,1.164297032119066e-06
6399,1.1645299764495576e-06
6449,1.2106240774301114e-06
6499,1.0864376918107155e-06
6549,1.0471964060343453e-06
6599,1.0677136970116408e-06
6649,1.052392349265574e-06
6699,1.0192292165811523e-06
6749,1.0149824447580613e-06
6799,9.442765076528303e-07
6849,9.066790767064958e-07
6899,8.880493282958923e-07
6949,9.110763130593114e-07
6999,8.796147881184879e-07
7049,8.675821163706132e-07
7099,9.026203429129964e-07
7149,8.333381060765532e-07
7199,8.422434234489629e-07
7249,8.462446317025751e-07
7299,8.168998988367093e-07
7349,8.067319186011446e-07
7399,7.987371191120474e-07
7449,7.560775543424825e-07
7499,7.591015673824586e-07
7549,7.451741339536966e-07
7599,7.654992373318237e-07
7649,7.794678822392598e-07
7699,6.709950639560702e-07
7749,7.61631724799372e-07
7799,7.306171596610511e-07
7849,7.265504109454923e-07
7899,7.059563813527348e-07
7949,6.465887736339937e-07
7999,6.540975050484121e-07
8049,6.377064210028038e-07
8099,6.292636385296646e-07
8149,6.751498062840255e-07
8199,6.137460104582715e-07
8249,6.668399237241829e-07
8299,6.371974450303242e-07
8349,6.540949470945634e-07
8399,6.637894216510176e-07
8449,6.209644993759866e-07
8499,6.352616424010193e-07
8549,6.515097652481927e-07
8599,6.252644766391313e-07
8649,6.160366297081055e-07
8699,6.369643870129948e-07
8749,5.970838969915349e-07
8799,6.221553121577017e-07
8849,6.157742973300628e-07
8899,6.003199928272807e-07
8949,5.93053925967979e-07
8999,6.049157263987581e-07
9049,5.870091399629018e-07
9099,5.728941232518991e-07
9149,5.949732440058142e-07
9199,6.100715381762711e-07
9249,6.165498689369997e-07
9299,5.986557312098739e-07
9349,5.876268573956622e-07
9399,5.702926841877343e-07
9449,5.892352987757477e-07
9499,5.704500836145598e-07
9549,5.487375460688781e-07
9599,5.844854626957385e-07
9649,6.020872547196632e-07
9699,5.618218779090967e-07
9749,5.96963786847482e-07
