step,Cov_batch_ik_00
17,0.00040046009235084057
35,0.0008769670384936035
53,0.005423157941550016
71,0.015029852278530598
89,0.009807185269892216
107,0.013080527074635029
125,0.018864616751670837
143,0.046804849058389664
161,0.05970805138349533
179,0.039396509528160095
197,0.0257765781134367
215,0.0831504836678505
233,0.031995758414268494
251,0.04590769112110138
269,0.07275186479091644
287,0.016245592385530472
305,0.020592475309967995
323,0.02731502242386341
341,0.02019171044230461
359,0.036386121064424515
377,0.021555280312895775
395,0.023609140887856483
413,0.031618181616067886
431,0.016890911385416985
449,0.013265246525406837
467,0.010441918857395649
485,0.016261320561170578
503,0.012817539274692535
521,0.01573203317821026
539,0.0258878655731678
557,0.01134534552693367
575,0.016543902456760406
593,0.0034274107310920954
611,0.00745195709168911
629,0.01003554742783308
647,0.007919687777757645
665,0.00553247332572937
683,0.00441404664888978
701,0.008719523437321186
719,0.0065885670483112335
737,0.002163775498047471
755,0.001913096522912383
773,0.003665979951620102
791,0.003430613549426198
809,0.004129352048039436
827,0.0021559838205575943
845,0.003447003662586212
863,0.002874180907383561
881,0.0013438246678560972
899,0.000580169667955488
917,0.0017614196985960007
935,0.001147885457612574
953,0.001349031226709485
971,0.0010745951440185308
989,0.001646610675379634
1007,0.0007429103134199977
1025,0.0007244204171001911
1043,0.0005597086856141686
1061,0.0006275819032453001
1079,0.0005087400786578655
1097,0.0004291370860300958
1115,0.0003983440692536533
1133,0.00047684149467386305
1151,0.0002653171541169286
1169,0.00028033036505803466
1187,0.00017949601169675589
1205,0.00048133343807421625
1223,0.0002080600243061781
1241,0.0002453324559610337
1259,0.00026364336372353137
1277,0.000232263162615709
1295,0.00019872654229402542
1313,0.00015430270286742598
1331,0.0001809215609682724
1349,0.0001346852513961494
1367,0.00011959817493334413
1385,0.00011349713895469904
1403,0.00013099507486913353
1421,0.00010506947728572413
1439,7.987142453202978e-05
1457,8.548926416551694e-05
1475,8.180580334737897e-05
1493,7.442350033670664e-05
1511,6.206741818459705e-05
1529,6.330665200948715e-05
1547,6.0343965742504224e-05
1565,5.1585368055384606e-05
1583,4.440908014657907e-05
1601,4.846263618674129e-05
1619,3.0306238841149025e-05
1637,3.749395546037704e-05
1655,3.028950777661521e-05
1673,3.403575101401657e-05
1691,2.9649274438270368e-05
1709,2.601115011202637e-05
1727,2.4261344151454978e-05
1745,2.2167352653923444e-05
1763,2.131477594957687e-05
1781,1.9985149265266955e-05
1799,1.743337998050265e-05
1817,1.620742114027962e-05
1835,1.671754398557823e-05
1853,1.4857424503134098e-05
1871,1.3784944712824654e-05
1889,1.3085657883493695e-05
1907,1.1839111721201334e-05
1925,9.810732990445103e-06
1943,1.0749467946880031e-05
1961,8.933660865295678e-06
1979,8.802576303423848e-06
1997,8.51733420859091e-06
2015,7.632063898199704e-06
2033,6.795810804760549e-06
2051,5.993344984744908e-06
2069,6.389804639184149e-06
2087,5.851681180502055e-06
2105,4.728470230475068e-06
2123,4.875522790825926e-06
2141,4.604868081514724e-06
2159,4.308997631596867e-06
2177,4.156826889811782e-06
2195,3.558586968210875e-06
2213,3.5607499739853665e-06
2231,2.8906129045935813e-06
2249,2.9109760362189263e-06
2267,2.8289300644246396e-06
2285,2.5354597710247617e-06
2303,2.5352908323839074e-06
2321,2.248349574074382e-06
2339,1.9607434751378605e-06
2357,2.05451783585886e-06
2375,1.7398276668245671e-06
2393,1.8240017425341648e-06
2411,1.6023842590584536e-06
2429,1.6870174022187712e-06
2447,1.388163127558073e-06
2465,1.3462944252751186e-06
2483,1.3014647493037046e-06
2501,1.2161019640188897e-06
2519,1.1448333907537744e-06
2537,1.0971295978379203e-06
2555,1.0441464155519498e-06
2573,8.938678774939035e-07
2591,9.002966407933854e-07
2609,8.044845003496448e-07
2627,7.465929456884624e-07
2645,7.009223281784216e-07
2663,6.399718017746636e-07
2681,5.711743824576843e-07
2699,6.010864694871998e-07
2717,5.378354330787261e-07
2735,5.573749035647779e-07
2753,4.866002996095631e-07
2771,4.79987022572459e-07
2789,4.403852074119641e-07
2807,4.384488931918895e-07
2825,3.870903242386703e-07
2843,3.770833814087382e-07
2861,3.455877504165983e-07
2879,3.2876607747311937e-07
2897,3.202753191544616e-07
2915,2.8769258619831817e-07
2933,2.8257161943656683e-07
2951,2.732432733409951e-07
2969,2.446752205287339e-07
2987,2.3649346303500351e-07
3005,2.1922647874816903e-07
3023,2.121090716400431e-07
3041,2.1577989173238166e-07
3059,1.9252743754805124e-07
3077,1.7688431341866817e-07
3095,1.7642669547512924e-07
3113,1.6989051232485508e-07
3131,1.487134539956969e-07
3149,1.4382679580648983e-07
3167,1.3926594988333818e-07
3185,1.3149930566669354e-07
3203,1.1744422323545223e-07
3221,1.1624764084672279e-07
3239,1.0741587885831905e-07
3257,1.0680551554287376e-07
3275,1.0015689611009293e-07
3293,9.21451572821752e-08
3311,9.083117902264348e-08
3329,8.600419931781289e-08
3347,7.809619262388878e-08
3365,7.600135631946614e-08
3383,7.063185591960064e-08
3401,7.017374059614667e-08
3419,6.839848509798685e-08
3437,6.783660921882984e-08
3455,6.113988604283804e-08
3473,5.893289412028935e-08
3491,5.59043762393685e-08
3509,5.089341925668123e-08
3527,4.8915687500539207e-08
3545,4.5614644506031254e-08
3563,4.477545445524811e-08
3581,4.4328054116249405e-08
3599,4.2846782122296645e-08
3617,3.855683061715354e-08
3635,3.85643943445757e-08
3653,3.723318187098812e-08
3671,3.505200041331591e-08
3689,3.133831327772896e-08
3707,3.045629881626155e-08
3725,2.918339347957044e-08
3743,2.9060586825835344e-08
3761,2.6455051482798808e-08
3779,2.5579661055985525e-08
3797,2.4714625013189107e-08
3815,2.2180715930630868e-08
3833,2.235610985223957e-08
3851,2.130863130389571e-08
3869,2.013600663985926e-08
3887,2.0244272036507027e-08
3905,1.823345030516066e-08
3923,1.834318652527145e-08
3941,1.7526648576904336e-08
3959,1.7115153738700428e-08
3977,1.6340079511678596e-08
3995,1.5592485524962285e-08
4013,1.4661296177109762e-08
4031,1.3498107520604208e-08
4049,1.2716303565696307e-08
4067,1.2551808481475746e-08
4085,1.285357686953148e-08
4103,1.1372411456989084e-08
