step,kNN_accuracy
179,22.9299373626709
359,22.87898063659668
539,25.528663635253906
719,28.585988998413086
899,31.97452163696289
1079,34.21656036376953
1259,37.83439254760742
1439,40.22930145263672
1619,42.624202728271484
1799,45.222930908203125
1979,48.94267654418945
2159,52.63694381713867
2339,55.84713363647461
2519,58.292991638183594
2699,61.35031509399414
2879,63.61783218383789
3059,66.26751708984375
3239,66.77706909179688
3419,68.28025817871094
3599,69.45223236083984
3779,70.6496810913086
3959,71.0063705444336
4139,73.65605163574219
4319,74.1146469116211
4499,74.70063781738281
4679,75.28662872314453
4859,77.09554290771484
5039,77.45223236083984
5219,77.73248291015625
5399,78.42037963867188
5579,79.7197494506836
5759,79.89808654785156
5939,80.43312072753906
6119,80.91719818115234
6299,81.14649963378906
6479,81.47770690917969
6659,81.57962036132812
6839,81.37579345703125
7019,81.55413818359375
7199,81.80892181396484
