FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                 	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                  	|  -              	|  271197         	|  6330.5         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                     	|  31.463         	|  200            	|  6292.7         	|  99.402         	|
|  run_training_batch                                                                                                                                                     	|  0.22248        	|  7200           	|  1601.8         	|  25.303         	|
|  [LightningModule]Toymodel.optimizer_step                                                                                                                               	|  0.22232        	|  7200           	|  1600.7         	|  25.285         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                             	|  0.16386        	|  7200           	|  1179.8         	|  18.637         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                           	|  0.12066        	|  7200           	|  868.72         	|  13.723         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                                	|  0.10057        	|  7200           	|  724.09         	|  11.438         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                         	|  0.085131       	|  7842           	|  667.6          	|  10.546         	|
|  [LightningModule]Toymodel.transfer_batch_to_device                                                                                                                     	|  0.08508        	|  7842           	|  667.2          	|  10.539         	|
|  [LightningModule]Toymodel.on_validation_epoch_start                                                                                                                    	|  9.726          	|  41             	|  398.77         	|  6.2991         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                           	|  0.014302       	|  7200           	|  102.97         	|  1.6266         	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_end        	|  0.25646        	|  41             	|  10.515         	|  0.1661         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                         	|  0.0088629      	|  642            	|  5.69           	|  0.089882       	|
|  [LightningModule]Toymodel.optimizer_zero_grad                                                                                                                          	|  0.00016111     	|  7200           	|  1.16           	|  0.018324       	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                      	|  0.0015093      	|  642            	|  0.969          	|  0.015307       	|
|  [_EvaluationLoop].val_next                                                                                                                                             	|  0.0013826      	|  643            	|  0.889          	|  0.014043       	|
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                          	|  0.013268       	|  41             	|  0.544          	|  0.0085933      	|
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                         	|  0.001095       	|  200            	|  0.219          	|  0.0034594      	|
|  [LightningModule]Toymodel.configure_gradient_clipping                                                                                                                  	|  2.8194e-05     	|  7200           	|  0.203          	|  0.0032067      	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  1.3194e-05     	|  7200           	|  0.095          	|  0.0015007      	|
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                           	|  0.000395       	|  200            	|  0.079          	|  0.0012479      	|
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                            	|  1.0833e-05     	|  7200           	|  0.078          	|  0.0012321      	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                    	|  9.5016e-05     	|  642            	|  0.061          	|  0.00096359     	|
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                            	|  0.0011463      	|  41             	|  0.047          	|  0.00074244     	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_start     	|  4.4444e-06     	|  7200           	|  0.032          	|  0.00050549     	|
|  [Callback]TQDMProgressBar.on_before_optimizer_step                                                                                                                     	|  4.1667e-06     	|  7200           	|  0.03           	|  0.0004739      	|
