step,Cov_batch_ik_00
17,0.009663932956755161
35,0.0066030374728143215
53,0.005987254902720451
71,0.005168999079614878
89,0.004385785665363073
107,0.004562823101878166
125,0.004311211407184601
143,0.0038819650653749704
161,0.0036729443818330765
179,0.0033751209266483784
197,0.0032047226559370756
215,0.00313379499129951
233,0.002924651373177767
251,0.0028321417048573494
269,0.0027978825382888317
287,0.002584894886240363
305,0.0024713471066206694
323,0.002362904604524374
341,0.0022585021797567606
359,0.002136911964043975
377,0.002128622028976679
395,0.002021275693550706
413,0.0019447774393483996
431,0.0017873818287625909
449,0.0017833742313086987
467,0.0016831598477438092
485,0.001631117076613009
503,0.001508645131252706
521,0.0015363461570814252
539,0.0013903353828936815
557,0.0013809502124786377
575,0.0013040195917710662
593,0.001255835872143507
611,0.0012335926294326782
629,0.0011841516243293881
647,0.0011230118107050657
665,0.0010902287904173136
683,0.001055714674293995
701,0.0009892036905512214
719,0.0009537709411233664
737,0.0009473937680013478
755,0.0008779658237472177
773,0.0008307829266414046
791,0.0008151468937285244
809,0.0007951014558784664
827,0.0007817918667569757
845,0.0007570218876935542
863,0.0007090583676472306
881,0.0006938865990377963
899,0.0006738336523994803
917,0.0006430685170926154
935,0.000622396357357502
953,0.0005844254046678543
971,0.0005703024216927588
989,0.0005531578790396452
1007,0.0005307613173499703
1025,0.0005187269998714328
1043,0.0004954842152073979
1061,0.0004875320883002132
1079,0.0004651405615732074
1097,0.0004488909034989774
1115,0.0004321275919210166
1133,0.00042138458229601383
1151,0.00041148398304358125
1169,0.00040236968197859824
1187,0.00038063127431087196
1205,0.00037010101368650794
1223,0.0003683889808598906
1241,0.0003448592033237219
1259,0.00034170199069194496
1277,0.00032941176323220134
1295,0.00031011810642667115
1313,0.0003098319284617901
1331,0.0002949813788291067
1349,0.0002856232167687267
1367,0.0002821512462105602
1385,0.00026907268329523504
1403,0.0002736601745709777
1421,0.0002473086351528764
1439,0.00025888127856887877
1457,0.00023721436446066946
1475,0.00023132283240556717
1493,0.00022795723634772003
1511,0.00022094318410381675
1529,0.0002145980397472158
1547,0.00021416330127976835
1565,0.00020543359278235584
1583,0.00020367966499179602
1601,0.0001979488442884758
1619,0.00019668940512929112
1637,0.00018386117881163955
1655,0.00018020303105004132
1673,0.00018332494073547423
1691,0.0001834362919908017
1709,0.00017348924302496016
1727,0.00016627163859084249
1745,0.0001645793963689357
1763,0.00016027651145122945
1781,0.00015608033572789282
1799,0.00015514882397837937
1817,0.00014348866534419358
1835,0.000145912345033139
1853,0.00014738558093085885
1871,0.00014141308201942593
1889,0.0001358366571366787
1907,0.0001363527844659984
1925,0.00012982642510905862
1943,0.0001272499212063849
1961,0.00012805852747987956
1979,0.00012586858065333217
1997,0.00012267837882973254
2015,0.00012204500671941787
2033,0.00012151354894740507
2051,0.00011546404857654124
2069,0.00011739203910110518
2087,0.00011328102118568495
2105,0.00011006571003235877
2123,0.00010810519597725943
2141,0.00010528357233852148
2159,0.00010870637197513133
2177,0.00010575736814644188
2195,0.00010336790728615597
2213,9.827956091612577e-05
2231,0.00010220258991466835
2249,9.814699296839535e-05
2267,9.726099960971624e-05
2285,9.518326260149479e-05
2303,9.619259799364954e-05
2321,9.256367775378749e-05
2339,9.211223368765786e-05
2357,9.167310054181144e-05
2375,9.161830530501902e-05
2393,8.831256855046377e-05
2411,8.804098615655676e-05
2429,8.691808761795983e-05
2447,8.575716492487118e-05
2465,8.574079402023926e-05
2483,8.336928294738755e-05
2501,8.151343354256824e-05
2519,8.413154137087986e-05
2537,8.360980427823961e-05
2555,8.470840839436278e-05
2573,7.917526090750471e-05
2591,7.672869833186269e-05
2609,7.824813656043261e-05
2627,7.74969084886834e-05
2645,7.845392246963456e-05
2663,7.589369488414377e-05
2681,7.486611866625026e-05
2699,7.510758587159216e-05
2717,7.360067684203386e-05
2735,7.270833884831518e-05
2753,7.362494216067716e-05
2771,7.237022509798408e-05
2789,7.078893395373598e-05
2807,7.19578965799883e-05
2825,6.929269875399768e-05
2843,6.85023405821994e-05
2861,6.851590296719223e-05
2879,6.881420995341614e-05
2897,6.902976019773632e-05
2915,6.451790977735072e-05
2933,6.379415572155267e-05
2951,6.512981053674594e-05
2969,6.449760985560715e-05
2987,6.284528353717178e-05
3005,6.437589036067948e-05
3023,6.33647505310364e-05
3041,6.226940604392439e-05
3059,6.059360384824686e-05
3077,6.15856479271315e-05
3095,6.0311453125905246e-05
3113,6.0347141698002815e-05
3131,6.0148184275021777e-05
3149,5.8829737099586055e-05
3167,5.9737354604294524e-05
3185,5.835941556142643e-05
3203,5.9878966567339376e-05
3221,5.688189048669301e-05
3239,5.88095499551855e-05
3257,5.678614252246916e-05
3275,5.530435373657383e-05
3293,5.5257474741665646e-05
3311,5.393608444137499e-05
3329,5.40997862117365e-05
3347,5.4105345043353736e-05
3365,5.455513746710494e-05
3383,5.392859748098999e-05
3401,5.360604700399563e-05
3419,5.2713920013047755e-05
3437,5.346846955944784e-05
3455,5.1363633247092366e-05
3473,5.0304635806242004e-05
3491,5.1580289436969906e-05
3509,5.0521179218776524e-05
3527,5.0506343541201204e-05
3545,5.1151269872207195e-05
3563,5.109178528073244e-05
3581,4.907391485176049e-05
3599,4.9722402764018625e-05
3617,4.771359090227634e-05
3635,4.911251744488254e-05
3653,4.7745656047482044e-05
3671,4.738736606668681e-05
3689,4.675852323998697e-05
3707,4.568979056784883e-05
3725,4.5258690079208463e-05
3743,4.6542463678633794e-05
3761,4.5874683564761654e-05
3779,4.512249506660737e-05
3797,4.571903627947904e-05
3815,4.3325344449840486e-05
3833,4.407069718581624e-05
3851,4.610371615854092e-05
3869,4.502527735894546e-05
3887,4.2581759771564975e-05
3905,4.339445149526e-05
3923,4.191527114016935e-05
3941,4.231678758515045e-05
3959,4.1020746721187606e-05
3977,4.172706758254208e-05
3995,4.0954550058813766e-05
4013,4.087016714038327e-05
4031,4.0306182199856266e-05
4049,4.0866550989449024e-05
4067,4.099118086742237e-05
4085,3.987541640526615e-05
4103,4.0251255995826796e-05
4121,3.974971696152352e-05
4139,3.793125142692588e-05
4157,3.8406251405831426e-05
4175,3.864521931973286e-05
4193,3.8935082557145506e-05
4211,3.867372288368642e-05
4229,3.8170182961039245e-05
4247,3.7545545637840405e-05
4265,3.8182370190043e-05
4283,3.699871740536764e-05
4301,3.619657218223438e-05
4319,3.65185369446408e-05
4337,3.6670026020146906e-05
4355,3.61993043043185e-05
4373,3.539821409503929e-05
4391,3.64121442544274e-05
4409,3.517754885251634e-05
4427,3.4372762456769124e-05
4445,3.548519453033805e-05
4463,3.4724438592093065e-05
4481,3.468704380793497e-05
4499,3.529672903823666e-05
4517,3.348405152792111e-05
4535,3.278680014773272e-05
4553,3.4082950151059777e-05
4571,3.2951826142380014e-05
4589,3.3199165045516565e-05
4607,3.280681266915053e-05
4625,3.303178891655989e-05
4643,3.267884676461108e-05
4661,3.161894346703775e-05
4679,3.1675779609940946e-05
4697,3.239370562369004e-05
4715,3.2288233342114836e-05
4733,3.1518367904936895e-05
4751,3.160397682222538e-05
4769,3.198330887244083e-05
4787,3.064923657802865e-05
4805,3.059130540350452e-05
4823,2.9804767109453678e-05
4841,2.987854168168269e-05
4859,2.9649467251147144e-05
4877,2.9676502890652046e-05
4895,2.9384209483396262e-05
4913,3.014397771039512e-05
4931,2.9722656108788215e-05
4949,2.9346783776418306e-05
4967,2.864594353013672e-05
4985,2.864918678824324e-05
5003,2.8779553758795373e-05
5021,2.8948903491254896e-05
5039,2.7321093512000516e-05
5057,2.8814329198212363e-05
5075,2.8036487492499873e-05
5093,2.7731639420380816e-05
5111,2.7243473596172407e-05
5129,2.730042251641862e-05
5147,2.7101645173388533e-05
5165,2.7014351871912368e-05
5183,2.6142364731640555e-05
5201,2.715934533625841e-05
5219,2.8176493287901394e-05
5237,2.6382496798760258e-05
5255,2.671656147867907e-05
5273,2.6087691367138177e-05
5291,2.569937896623742e-05
5309,2.6463922040420584e-05
5327,2.58329000644153e-05
5345,2.6305666324333288e-05
5363,2.5375315090059303e-05
5381,2.497581226634793e-05
5399,2.4904189558583312e-05
5417,2.5021881810971536e-05
5435,2.5006116629811004e-05
5453,2.5322984583908692e-05
5471,2.5525918317725882e-05
5489,2.427750405331608e-05
5507,2.47596235567471e-05
