step,Cov_batch_ik_10
17,1.2788766525773099e-06
35,9.341061968370923e-07
53,1.765454499036423e-06
71,3.913618002115982e-06
89,6.466378181357868e-06
107,1.0456360541866161e-05
125,1.7028869478963315e-05
143,2.923892498074565e-05
161,4.0143215301213786e-05
179,6.92373578203842e-05
197,7.501838990719989e-05
215,0.0001029358318191953
233,0.00014393558376468718
251,0.00016565993428230286
269,0.00021301004744600505
287,0.00024393564672209322
305,0.00027172191767022014
323,0.0002831750316545367
341,0.0003415399114601314
359,0.0003331471816636622
377,0.00043378741247579455
395,0.0003863316960632801
413,0.00041795248398557305
431,0.0004200531984679401
449,0.00041990866884589195
467,0.00038244249299168587
485,0.0003940046299248934
503,0.00032843940425664186
521,0.00044183171121403575
539,0.000489340047352016
557,0.00040635571349412203
575,0.0003411296638660133
593,0.00036714336602017283
611,0.00032653557718731463
629,0.0003341996343806386
647,0.0003335381916258484
665,0.0003674366744235158
683,0.00028906669467687607
701,0.00030004046857357025
719,0.00032072581234388053
737,0.0002546243485994637
755,0.00029514601919800043
773,0.0002108438202412799
791,0.0002197089052060619
809,0.00020266883075237274
827,0.0001970878802239895
845,0.00018166629888582975
863,0.0001729366194922477
881,0.00016639268142171204
899,0.00013384653721004725
917,0.00013998104259371758
935,0.0001253470836672932
953,0.0001143782283179462
971,0.00012579765461850911
989,9.834960656007752e-05
1007,9.187476825900376e-05
1025,9.017325646709651e-05
1043,8.628018258605152e-05
1061,8.145632455125451e-05
1079,7.402774645015597e-05
1097,7.022018689895049e-05
1115,6.422503793146461e-05
1133,6.022326851962134e-05
1151,5.5310825700871646e-05
1169,5.003216574550606e-05
1187,4.952346353093162e-05
1205,5.002492616767995e-05
1223,4.73686377517879e-05
1241,3.990344703197479e-05
1259,4.0818915294948965e-05
1277,4.1762556065805256e-05
1295,3.676989581435919e-05
1313,3.345719233038835e-05
1331,3.329509490868077e-05
1349,3.190776624251157e-05
1367,3.1493287679040805e-05
1385,2.9208342311903834e-05
1403,2.5521605493850075e-05
1421,2.420375676592812e-05
1439,2.4444081645924598e-05
1457,2.161409065593034e-05
1475,2.1749430743511766e-05
1493,1.8743103282758966e-05
1511,2.0081421098439023e-05
1529,1.8668626580620185e-05
1547,1.8160544641432352e-05
1565,1.820946272346191e-05
1583,1.519202305644285e-05
1601,1.4968007235438563e-05
1619,1.411319499311503e-05
1637,1.366520609735744e-05
1655,1.2696349585894495e-05
1673,1.2044713002978824e-05
1691,1.2026091098960023e-05
1709,1.1238800652790815e-05
1727,9.85750557447318e-06
1745,1.046882607624866e-05
1763,8.952172720455565e-06
1781,8.538742804375943e-06
1799,9.194277481583413e-06
1817,8.102311767288484e-06
1835,7.805126188031863e-06
1853,7.253475814650301e-06
1871,7.260813617904205e-06
1889,6.292420039244462e-06
1907,6.471118922490859e-06
1925,6.927344657015055e-06
1943,6.069400114938617e-06
1961,5.748976946051698e-06
1979,5.8157320381724276e-06
1997,6.075227702240227e-06
2015,5.008942480344558e-06
2033,5.171550583327189e-06
2051,4.573581463773735e-06
2069,4.774196440848755e-06
2087,4.588228421198437e-06
2105,4.3504669520189054e-06
2123,4.377998266136274e-06
2141,4.348142283561174e-06
2159,3.849362201435724e-06
2177,3.7608356251439545e-06
2195,3.4882814361480996e-06
2213,3.223409521524445e-06
2231,3.295064516350976e-06
2249,3.217249968656688e-06
2267,2.8455508527258644e-06
2285,2.9852103580196854e-06
2303,2.736217993515311e-06
2321,2.648715735631413e-06
2339,2.5618519430281594e-06
2357,2.4482619664922822e-06
2375,2.462285010551568e-06
2393,2.5855022158793872e-06
2411,2.3624234017916024e-06
2429,2.433482677588472e-06
2447,2.1023427052568877e-06
2465,2.20161768993421e-06
