step,Cov_batch_ik_10
49,0.42021527886390686
99,0.39595988392829895
149,0.3175022304058075
199,0.27533721923828125
249,0.22628924250602722
299,0.18674519658088684
349,0.177162766456604
399,0.17968979477882385
449,0.18083521723747253
499,0.13943706452846527
549,0.1329936981201172
599,0.10648997873067856
649,0.09692460298538208
699,0.078098826110363
749,0.07611919939517975
799,0.06888680905103683
849,0.06391200423240662
899,0.05017973482608795
949,0.043603092432022095
999,0.0370292142033577
1049,0.03320692479610443
1099,0.027599677443504333
1149,0.021713433787226677
1199,0.018776850774884224
1249,0.017325934022665024
1299,0.014420270919799805
1349,0.011216260492801666
1399,0.010536815971136093
1449,0.01073106937110424
1499,0.008761969394981861
1549,0.007417503744363785
1599,0.0057677049189805984
1649,0.005213546566665173
1699,0.003970045130699873
1749,0.0038382650818675756
1799,0.003607024671509862
1849,0.0027083037421107292
1899,0.002129406901076436
1949,0.0017281940672546625
1999,0.001349294325336814
2049,0.001184035325422883
2099,0.0009622883517295122
2149,0.0008324510417878628
2199,0.0007170307217165828
2249,0.0006406226893886924
2299,0.000548321520909667
2349,0.0005475882790051401
2399,0.0004195792134851217
2449,0.0003664928372018039
2499,0.0003221851075068116
2549,0.00033131055533885956
2599,0.00025419145822525024
2649,0.00022462308697868139
2699,0.00019620568491518497
2749,0.00017689465312287211
2799,0.00015493147657252848
2849,0.0001236892130691558
2899,0.00010411538823973387
2949,0.00010623208072502166
2999,8.551809878554195e-05
3049,7.842697959858924e-05
3099,7.12641776772216e-05
3149,6.129614484962076e-05
3199,5.1475541113177314e-05
3249,4.190592881059274e-05
3299,3.800635749939829e-05
3349,3.2088879379443824e-05
3399,3.92601104977075e-05
3449,2.9092541808495298e-05
3499,2.6411407816340216e-05
3549,2.1780102542834356e-05
3599,1.904886812553741e-05
3649,1.3990085790283047e-05
3699,1.6972717276075855e-05
3749,1.3027446584601421e-05
3799,1.0329464203095995e-05
3849,1.0952137017739005e-05
3899,8.13159113022266e-06
3949,8.492954293615185e-06
3999,6.431036581489025e-06
4049,5.969272933725733e-06
4099,4.976759100827621e-06
4149,4.226215423841495e-06
4199,4.114154762646649e-06
4249,3.2266457310470287e-06
4299,2.7678856895363424e-06
4349,2.5926733542291913e-06
4399,2.5750568966032006e-06
4449,1.966358922800282e-06
4499,1.621006276764092e-06
4549,1.6716279560569092e-06
4599,1.3203600701672258e-06
4649,1.1358595202182187e-06
4699,1.372635665575217e-06
4749,8.789205594439409e-07
4799,7.331746587624366e-07
4849,6.580652893717343e-07
4899,7.209078489722742e-07
4949,6.097560572015936e-07
4999,4.303077218992257e-07
5049,4.035067604490905e-07
5099,3.0682269880344393e-07
5149,3.2921289516707475e-07
5199,2.398283527327294e-07
5249,2.303264636793756e-07
5299,2.0685658341790258e-07
5349,1.7132052221313643e-07
5399,1.5786490337177383e-07
5449,1.244158056579181e-07
5499,1.399465929807775e-07
5549,9.86554411497309e-08
5599,9.214423357661872e-08
5649,7.922157863049506e-08
5699,8.088113645499106e-08
5749,6.457371171109116e-08
5799,5.432238481262175e-08
5849,4.7849763262775014e-08
5899,5.286385373892699e-08
5949,3.5143180809882324e-08
5999,3.8280170144844305e-08
6049,3.033284912135059e-08
6099,3.224903366572107e-08
6149,2.503686502564051e-08
6199,2.687314193394741e-08
6249,2.1532310157112988e-08
