step,Cov_batch_ik_00
49,0.00029043041286058724
99,0.003996001090854406
149,0.005022890865802765
199,0.00536456611007452
249,0.016283070668578148
299,0.0099404975771904
349,0.015701493248343468
399,0.010921869426965714
449,0.008785190060734749
499,0.0075533101335167885
549,0.00634479895234108
599,0.0060989814810454845
649,0.005221556406468153
699,0.0043512554839253426
749,0.003876264439895749
799,0.0028953899163752794
849,0.0032138507813215256
899,0.0018278883071616292
949,0.0019508255645632744
999,0.0015649045817553997
1049,0.0015016681281849742
1099,0.0012273225001990795
1149,0.0010046582901850343
1199,0.0008756765746511519
1249,0.0007369532831944525
1299,0.0006214518798515201
1349,0.000561295251827687
1399,0.000471304461825639
1449,0.00042721719364635646
1499,0.0003513104747980833
1549,0.0003175659221597016
1599,0.0002781441144179553
1649,0.00023036722268443555
1699,0.00020781447528861463
1749,0.00017575164383742958
1799,0.00015848931798245758
1849,0.00012837635586038232
1899,0.00011035524948965758
1949,9.100476745516062e-05
1999,8.799706120043993e-05
2049,7.357282447628677e-05
2099,5.9570382290985435e-05
2149,5.6060493079712614e-05
2199,5.0484450184740126e-05
2249,4.360680395620875e-05
2299,3.88073458452709e-05
2349,3.193149677827023e-05
2399,2.5875368010019884e-05
2449,2.5511648345855065e-05
2499,2.224093805125449e-05
2549,1.772673931554891e-05
2599,1.5236604667734355e-05
2649,1.5175491171248723e-05
2699,1.3247448805486783e-05
2749,1.139272626460297e-05
2799,1.0294837011315394e-05
2849,9.92857530945912e-06
2899,7.92001901572803e-06
2949,7.269094567163847e-06
2999,6.706794010824524e-06
3049,5.5328287089650985e-06
3099,5.2716659411089495e-06
3149,4.489096681936644e-06
3199,4.010221346106846e-06
3249,3.84689747079392e-06
3299,3.2624154755467316e-06
3349,2.9305399493750883e-06
3399,2.4535249849577667e-06
3449,2.5327510684292065e-06
3499,2.166669219150208e-06
3549,1.9598528524511494e-06
3599,1.8775781427393667e-06
3649,1.553618858451955e-06
3699,1.4751838079973822e-06
3749,1.3806434253638145e-06
3799,1.3359889408093295e-06
3849,1.1434024145273725e-06
3899,9.83729137260525e-07
3949,8.579311838730064e-07
3999,8.240343731813482e-07
4049,7.790497988935385e-07
4099,6.533581995427085e-07
4149,6.04676472448773e-07
4199,5.92994297221594e-07
4249,5.450933144857117e-07
4299,4.886044848717574e-07
4349,4.413987539919617e-07
4399,4.41649376625719e-07
4449,3.9123492001635896e-07
4499,3.773810135498934e-07
4549,3.3283964739894145e-07
4599,3.133137624899973e-07
4649,2.8470486768128467e-07
4699,2.7278795755592e-07
4749,2.509915475457092e-07
4799,2.3088203704446641e-07
4849,2.212129999179524e-07
4899,2.186572629625516e-07
4949,2.0156781488367415e-07
4999,1.7923468931257958e-07
5049,1.6301483185543475e-07
5099,1.603351762469174e-07
5149,1.49357532563954e-07
5199,1.4398824532690924e-07
5249,1.3316493152615294e-07
5299,1.2481893918447895e-07
5349,1.1889319040392365e-07
5399,1.0454975551965617e-07
5449,1.0585487331127297e-07
5499,1.0230433389324389e-07
5549,9.913868126432135e-08
5599,9.382286236814252e-08
5649,8.659586114845297e-08
5699,8.486637170790345e-08
5749,7.572046456516546e-08
5799,7.215007258309925e-08
5849,7.071498941968457e-08
5899,6.537464969369466e-08
5949,6.552933484726964e-08
5999,5.676562508938332e-08
6049,5.713152972930402e-08
6099,5.5334751891678025e-08
6149,4.8882576209052786e-08
6199,4.5627700728800846e-08
6249,4.811094456158571e-08
6299,4.5945540705361054e-08
6349,4.4121019726617305e-08
6399,3.991823405158357e-08
6449,3.742789900229582e-08
6499,3.631968326089918e-08
6549,3.5784651686299185e-08
6599,3.472563747664026e-08
6649,3.281413540889844e-08
6699,3.271578918884188e-08
6749,3.0443398912893826e-08
6799,3.0733691147588615e-08
6849,2.987124503306404e-08
6899,2.7540364655465055e-08
6949,2.5918321711060344e-08
6999,2.60668340246184e-08
7049,2.4470448778401988e-08
7099,2.449911562507623e-08
7149,2.2135019150937296e-08
7199,2.355179873347879e-08
7249,2.1843019837319844e-08
7299,2.1504634517555132e-08
7349,2.1240929015675647e-08
7399,2.0401898837008048e-08
7449,1.975579699831087e-08
7499,1.923626058442096e-08
7549,1.9126899175603285e-08
7599,1.7676869745741897e-08
7649,1.705251051475898e-08
7699,1.6151506798678383e-08
7749,1.7534164342691838e-08
7799,1.6351842546669104e-08
7849,1.594951903882702e-08
7899,1.628012036292148e-08
7949,1.6683147308071966e-08
7999,1.483524858514329e-08
8049,1.4373983781013067e-08
8099,1.4969662842645448e-08
8149,1.4817311821957446e-08
8199,1.4294878170062475e-08
8249,1.4179219576249125e-08
8299,1.4139318160744097e-08
8349,1.403635430108352e-08
8399,1.3956688249550098e-08
8449,1.2719741704358967e-08
8499,1.2958001782692463e-08
8549,1.2627332957038107e-08
8599,1.214691547346547e-08
8649,1.3036482116035586e-08
8699,1.2248398739700406e-08
8749,1.2167620688785519e-08
8799,1.1725952653307559e-08
8849,1.1376555697495405e-08
8899,1.201674226791738e-08
8949,1.1606931415997224e-08
8999,1.1272991429223111e-08
9049,1.1960858969928267e-08
9099,1.1356408258222928e-08
9149,1.1860201709623652e-08
9199,1.0825456087104612e-08
9249,1.1039527514355996e-08
9299,1.1158741486383406e-08
9349,1.1279775335992781e-08
9399,1.0793391957975018e-08
9449,1.1353478157616337e-08
9499,1.148435213593757e-08
9549,1.1526524623661771e-08
9599,1.1594938342796013e-08
9649,1.12922782236069e-08
9699,1.1107615272010207e-08
9749,1.1138146405187399e-08
9749,1.1512249820100351e-08
9799,1.1147035294811758e-08
9849,1.1240456565531076e-08
9899,1.1226983787082645e-08
9949,1.1290171464395371e-08
9999,1.0943139727714879e-08
