step,kNN_accuracy
974,37.506248474121094
1949,40.50594711303711
2924,44.94550704956055
3899,47.77522277832031
4874,50.18498229980469
5849,51.20487976074219
6824,52.644737243652344
7799,53.99460220336914
8774,54.93450927734375
9749,55.2144775390625
10139,55.50444793701172
10919,55.874412536621094
11699,56.2443733215332
12479,57.60424041748047
13259,58.58414077758789
14039,61.033897399902344
14819,62.1337890625
15599,63.12368392944336
16379,64.99349975585938
17159,65.65343475341797
17939,66.79331970214844
18719,67.34326171875
19499,67.33326721191406
