FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                 	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                  	|  -              	|  357425         	|  2151.2         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                     	|  42.254         	|  50             	|  2112.7         	|  98.212         	|
|  run_training_batch                                                                                                                                                     	|  0.07319        	|  9750           	|  713.6          	|  33.173         	|
|  [LightningModule]Toymodel.optimizer_step                                                                                                                               	|  0.072711       	|  9750           	|  708.94         	|  32.956         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                           	|  0.047605       	|  9750           	|  464.15         	|  21.577         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                             	|  0.04005        	|  9750           	|  390.48         	|  18.152         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                           	|  0.025259       	|  9750           	|  246.27         	|  11.448         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                                	|  0.023834       	|  9750           	|  232.38         	|  10.803         	|
|  [LightningModule]Toymodel.on_validation_epoch_start                                                                                                                    	|  9.7997         	|  11             	|  107.8          	|  5.0111         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                         	|  0.0053376      	|  10152          	|  54.187         	|  2.519          	|
|  [LightningModule]Toymodel.transfer_batch_to_device                                                                                                                     	|  0.0052943      	|  10152          	|  53.748         	|  2.4985         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                         	|  0.0074104      	|  402            	|  2.979          	|  0.13848        	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                      	|  0.007092       	|  402            	|  2.851          	|  0.13253        	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_end        	|  0.19745        	|  11             	|  2.172          	|  0.10097        	|
|  [LightningModule]Toymodel.optimizer_zero_grad                                                                                                                          	|  0.00016533     	|  9750           	|  1.612          	|  0.074936       	|
|  [_EvaluationLoop].val_next                                                                                                                                             	|  0.0018958      	|  403            	|  0.764          	|  0.035516       	|
|  [LightningModule]Toymodel.configure_gradient_clipping                                                                                                                  	|  2.0821e-05     	|  9750           	|  0.203          	|  0.0094367      	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  1.9487e-05     	|  9750           	|  0.19           	|  0.0088324      	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_start     	|  4.8205e-06     	|  9750           	|  0.047          	|  0.0021849      	|
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                            	|  4.8205e-06     	|  9750           	|  0.047          	|  0.0021849      	|
|  [Callback]ModelSummary.on_before_optimizer_step                                                                                                                        	|  4.8205e-06     	|  9750           	|  0.047          	|  0.0021849      	|
|  [LightningModule]Toymodel.on_train_batch_end                                                                                                                           	|  4.6154e-06     	|  9750           	|  0.045          	|  0.0020919      	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                    	|  7.9602e-05     	|  402            	|  0.032          	|  0.0014876      	|
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                            	|  0.0029091      	|  11             	|  0.032          	|  0.0014876      	|
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                           	|  0.00064        	|  50             	|  0.032          	|  0.0014876      	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_zero_grad      	|  3.1795e-06     	|  9750           	|  0.031          	|  0.0014411      	|
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                              	|  3.1795e-06     	|  9750           	|  0.031          	|  0.0014411      	|
|  [Callback]TQDMProgressBar.on_before_zero_grad                                                                                                                          	|  3.1795e-06     	|  9750           	|  0.031          	|  0.0014411      	|
|  [Callback]ModelSummary.on_before_zero_grad                                                                                                                             	|  3.1795e-06     	|  9750           	|  0.031          	|  0.0014411      	|
|  [Callback]ModelSummary.on_validation_batch_end                                                                                                                         	|  3.9801e-05     	|  402            	|  0.016          	|  0.00074378     	|
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                         	|  0.00032        	|  50             	|  0.016          	|  0.00074378     	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_backward       	|  1.641e-06      	|  9750           	|  0.016          	|  0.00074378     	|
|  [LightningModule]Toymodel.on_before_optimizer_step                                                                                                                     	|  1.641e-06      	|  9750           	|  0.016          	|  0.00074378     	|
|  [Callback]TQDMProgressBar.on_train_batch_start                                                                                                                         	|  1.5385e-06     	|  9750           	|  0.015          	|  0.00069729     	|
|  [LightningModule]Toymodel.on_train_batch_start                                                                                                                         	|  1.5385e-06     	|  9750           	|  0.015          	|  0.00069729     	|
|  [Strategy]SingleDeviceStrategy.on_train_batch_start                                                                                                                    	|  1.5385e-06     	|  9750           	|  0.015          	|  0.00069729     	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_optimizer_step 	|  1.5385e-06     	|  9750           	|  0.015          	|  0.00069729     	|
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                          	|  0.0013636      	|  11             	|  0.015          	|  0.00069729     	|
|  [LightningModule]Toymodel.on_validation_epoch_end                                                                                                                      	|  0.0013636      	|  11             	|  0.015          	|  0.00069729     	|
|  [LightningModule]Toymodel.configure_callbacks                                                                                                                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.prepare_data                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.setup                                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.setup                                                                                                                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.setup                                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.configure_sharded_model                                                                                                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.configure_optimizers                                                                                                                         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_fit_start                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_fit_start                                                                                                                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_fit_start             	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_fit_start                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_sanity_check_start                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_sanity_check_start                                                                                                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_sanity_check_start    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_validation_model_eval                                                                                                                     	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_start                                                                                                                             	|  0.0            	|  11             	|  0.0            	|  0.0            	|
