step,std_batch
49,0.14825908839702606
99,0.4608526825904846
149,0.7203258275985718
199,0.9099672436714172
249,0.9284897446632385
299,0.9168998003005981
349,0.8040909171104431
399,0.7073076963424683
449,0.6440191864967346
499,0.5085965394973755
549,0.4063979387283325
599,0.37103271484375
649,0.2787584662437439
699,0.22089587152004242
749,0.17960456013679504
799,0.15403050184249878
849,0.11896707117557526
899,0.09228332340717316
949,0.06174644082784653
999,0.05044928938150406
1049,0.04232122004032135
1099,0.028731442987918854
1149,0.026372671127319336
1199,0.01942865550518036
1249,0.015578719787299633
1299,0.013216566294431686
1349,0.01044826302677393
1399,0.008974837139248848
1449,0.006841069553047419
1499,0.005686875898391008
1549,0.004752710927277803
1599,0.004287789110094309
1649,0.0033232844434678555
1699,0.002552664838731289
1749,0.0023513222113251686
1799,0.0019658603705465794
1849,0.0017588881310075521
1899,0.0015447370242327452
1949,0.0012842541327700019
1999,0.001063795411027968
2049,0.0010020455811172724
2099,0.0008257352747023106
2149,0.0007027601241134107
2199,0.0006220830255188048
2249,0.0005038795643486083
2299,0.00041997875086963177
2349,0.00040253353654406965
2399,0.0003501452738419175
2449,0.00031853996915742755
2499,0.00028098857728764415
2549,0.0002101150166708976
2599,0.00019428336236160249
2649,0.00018138231826014817
2699,0.00015207752585411072
2749,0.00013009780377615243
2799,0.00011337993782944977
2849,9.915169357554987e-05
2899,9.100823808694258e-05
2949,7.909677515272051e-05
2999,7.01362660038285e-05
3049,5.951662387815304e-05
3099,5.143770977156237e-05
3149,4.6906548959668726e-05
3199,4.137977521168068e-05
3249,3.83493970730342e-05
3299,3.0541676096618176e-05
3349,2.714821312110871e-05
3399,2.3761875127092935e-05
3449,2.2662901756120846e-05
3499,1.944367613759823e-05
3549,1.7604030290385708e-05
3599,1.4999880477262195e-05
3649,1.4585077224182896e-05
3699,1.165186313301092e-05
3749,1.1374189853086136e-05
3799,9.513112672721036e-06
3849,8.599687134847045e-06
3899,8.47322189656552e-06
3949,7.438734428433236e-06
3999,6.360491170198657e-06
4049,6.432926056731958e-06
4099,5.723507001675898e-06
4149,4.974880539521109e-06
4199,4.339220140536781e-06
4249,4.179297775408486e-06
4299,3.4554295780253597e-06
4349,3.2609832487651147e-06
4399,2.9730781534453854e-06
4449,2.791691258607898e-06
4499,2.721069449762581e-06
4549,2.1716500668844674e-06
4599,2.0037628019053955e-06
4649,2.112429228873225e-06
4699,1.8846415059670107e-06
4749,1.9441706626821542e-06
4799,1.68320275406586e-06
4849,1.628814516152488e-06
4899,1.5039501022329205e-06
4949,1.4233906995286816e-06
4999,1.3184450153858052e-06
5049,1.2158830031694379e-06
5099,1.0945942676698905e-06
5149,1.1323013495712075e-06
5199,9.745162969920784e-07
5249,1.0117998954228824e-06
5299,1.0028600172518054e-06
5349,8.66759705786535e-07
5399,8.53750748319726e-07
5449,7.44724729884183e-07
5499,7.133485837584885e-07
5549,6.859107770651462e-07
5599,6.598470463359263e-07
5649,5.850797037965094e-07
5699,5.164552021597046e-07
5749,5.221564265411871e-07
5799,4.846865522267763e-07
5849,4.5123428549231903e-07
5899,4.1633450109657133e-07
5949,3.9936347207003564e-07
5999,3.5145174592798867e-07
6049,3.580781253731402e-07
6099,3.4348892086200067e-07
6149,2.833847929650801e-07
6199,2.743598201959685e-07
6249,2.655965261055826e-07
6299,2.4477142801515583e-07
6349,2.1280131079493003e-07
6399,1.9468748746476194e-07
6449,2.0046999793521536e-07
6499,1.7579853306415316e-07
6549,1.6276138126158912e-07
6599,1.4953367610814894e-07
6649,1.3499706597031036e-07
6699,1.314384974193672e-07
6749,1.2254169234893197e-07
6799,1.119566803708949e-07
6849,1.0966420660452059e-07
6899,9.331316164207237e-08
6949,8.42535570200198e-08
6999,8.907939985647317e-08
7049,7.465928320016246e-08
7099,7.460006656856422e-08
7149,6.848596001418628e-08
7199,6.357944926094206e-08
7249,5.678630543570762e-08
7299,5.982084871902771e-08
7349,5.376525891165329e-08
7399,5.0247273009063065e-08
7449,4.534513919907113e-08
7499,4.6646960072393995e-08
7549,4.301892886360292e-08
7599,4.09962517267104e-08
7649,3.820154859113245e-08
7699,3.735796383352863e-08
7749,3.309962437469949e-08
7799,3.384024793717799e-08
7849,3.173368767761531e-08
7899,3.180295848892456e-08
7949,2.971856893907443e-08
7999,3.0155867136727466e-08
8049,2.999238546408378e-08
8099,2.9289275005339732e-08
8149,2.753406747046938e-08
8199,2.673337107239604e-08
8249,2.5987446861108765e-08
8299,2.489264616656328e-08
8349,2.4817175869884522e-08
8399,2.2538895194657016e-08
8449,2.431059265006752e-08
8499,2.1519461768093606e-08
8549,2.185869441007071e-08
8599,2.0633439845596513e-08
8649,2.1395692328951554e-08
8699,2.2109837516381958e-08
8749,2.2874683480722524e-08
8799,2.0650649190656623e-08
8849,2.180408742447071e-08
8899,2.0323291494150908e-08
8949,2.0578589499109512e-08
8999,1.9915042059892585e-08
9049,1.9842470777575727e-08
9099,1.929153370383574e-08
9149,1.9854999422364017e-08
9199,1.848525776892984e-08
9249,1.875206478985092e-08
9299,1.8528552914176544e-08
9349,1.961656437288184e-08
9399,1.9049899435685802e-08
9449,1.9564126318982744e-08
9499,1.8606975515922386e-08
9549,1.8362598552812415e-08
9599,1.9092189162961404e-08
9649,1.9324460254210862e-08
9699,1.9497504055721038e-08
9749,2.0322211469192553e-08
