step,std_view
49,0.09580039232969284
99,0.2873973846435547
149,0.46328049898147583
199,0.5604153871536255
249,0.5656075477600098
299,0.5602844953536987
349,0.48290956020355225
399,0.4402223825454712
449,0.37031155824661255
499,0.3077431917190552
549,0.2419796884059906
599,0.2122361660003662
649,0.16378453373908997
699,0.14075493812561035
749,0.11008560657501221
799,0.08427469432353973
849,0.07193996012210846
899,0.054647088050842285
949,0.03886416554450989
999,0.03306661918759346
1049,0.026361756026744843
1099,0.021012643352150917
1149,0.017793137580156326
1199,0.013028301298618317
1249,0.011420373804867268
1299,0.009728547185659409
1349,0.007738576736301184
1399,0.006361349485814571
1449,0.005377655848860741
1499,0.0046581849455833435
1549,0.0035982648842036724
1599,0.003426379058510065
1649,0.0026295685674995184
1699,0.002165258163586259
1749,0.002020407235249877
1799,0.0016453955322504044
1849,0.0014572350773960352
1899,0.0012719762744382024
1949,0.0010799113661050797
1999,0.000916991091798991
2049,0.0008406767155975103
2099,0.0006909443764016032
2149,0.000577383441850543
2199,0.0004989395383745432
2249,0.0004393895505927503
2299,0.0003694065962918103
2349,0.0003438006970100105
2399,0.0002959892153739929
2449,0.0002630042436067015
2499,0.00023384705127682537
2549,0.00018514344992581755
2599,0.00016610541206318885
2649,0.00014766596723347902
2699,0.00012780011456925422
2749,0.00011065966100431979
2799,9.853613300947472e-05
2849,8.528843318345025e-05
2899,7.576373172923923e-05
2949,6.83119214954786e-05
2999,5.9442863857839257e-05
3049,5.200752639211714e-05
3099,4.520986840361729e-05
3149,4.212935164105147e-05
3199,3.601676507969387e-05
3249,3.0173709092196077e-05
3299,2.7143643819727004e-05
3349,2.34185645240359e-05
3399,2.0733097699121572e-05
3449,1.9349794456502423e-05
3499,1.6766029148129746e-05
3549,1.502170016465243e-05
3599,1.2097681064915378e-05
3649,1.1794131751230452e-05
3699,9.598801625543274e-06
3749,9.67103369475808e-06
3799,7.9291858128272e-06
3849,7.495764293707907e-06
3899,7.029525932011893e-06
3949,6.336068054224597e-06
3999,5.403242539614439e-06
4049,5.174602392798988e-06
4099,4.548545348370681e-06
4149,3.9525421016151085e-06
4199,3.6486001135926927e-06
4249,3.3246903967665276e-06
4299,2.8896163257741136e-06
4349,2.59520174950012e-06
4399,2.373591996729374e-06
4449,2.1963003291602945e-06
4499,2.1115738491062075e-06
4549,1.743967914080713e-06
4599,1.5526296692769392e-06
4649,1.5574369172099978e-06
4699,1.4917675343895098e-06
4749,1.4062485433896654e-06
4799,1.2793216228601523e-06
4849,1.200027099912404e-06
4899,1.0806718364619883e-06
4949,1.0187671932726516e-06
4999,9.412155463905947e-07
5049,9.064373784894997e-07
5099,8.233574249061348e-07
5149,8.291947324323701e-07
5199,7.101911023710272e-07
5249,6.612598326682928e-07
5299,6.397370952981873e-07
5349,6.110973345130333e-07
5399,5.521967523236526e-07
5449,4.888643161393702e-07
5499,4.687661885327543e-07
5549,4.440168481778528e-07
5599,4.6466573166981107e-07
5649,4.096897896488372e-07
5699,3.6897867516927363e-07
5749,3.5002869935851777e-07
5799,3.152014755869459e-07
5849,3.0187175070750527e-07
5899,2.8144836505816784e-07
5949,2.649115913300193e-07
5999,2.4513178686902393e-07
6049,2.055302985581875e-07
6099,2.2000746469075239e-07
6149,1.922662988818047e-07
6199,1.909833002855521e-07
6249,1.738184778332652e-07
6299,1.551037485114648e-07
6349,1.4450429830503708e-07
6399,1.26541266354252e-07
6449,1.2378413316582737e-07
6499,1.0854719789676892e-07
6549,1.03811473195492e-07
6599,9.949565082933987e-08
6649,8.736020618016482e-08
6699,7.966058745978444e-08
6749,7.97895509663249e-08
6799,6.994047652142399e-08
6849,6.789217366076628e-08
6899,5.8066000008238916e-08
6949,5.628237076393816e-08
6999,5.151625970256646e-08
7049,4.918567242384597e-08
7099,4.66195260173663e-08
7149,4.046814794378406e-08
7199,4.096516903473457e-08
7249,3.470816167805424e-08
7299,3.882069066207805e-08
7349,3.168629802985379e-08
7399,3.071244947250307e-08
7449,2.8967996001938445e-08
7499,2.9111468791143125e-08
7549,2.616434713331728e-08
7599,2.720767966479798e-08
7649,2.362148876500214e-08
7699,2.4157738920393967e-08
7749,2.3014528949261148e-08
7799,2.2385382436596046e-08
7849,2.0802133349206997e-08
7899,2.0296399227959228e-08
7949,1.8755098807332615e-08
7999,1.873118193884693e-08
8049,1.8799138246095026e-08
8099,1.7990325673622465e-08
8149,1.7553434261685652e-08
8199,1.7720196865411708e-08
8249,1.6734173158283738e-08
8299,1.5944344511353847e-08
8349,1.5058077451612917e-08
8399,1.4523205749128465e-08
8449,1.5233299066608197e-08
8499,1.448415432037109e-08
8549,1.377737035568316e-08
8599,1.4383396695905049e-08
8649,1.3829666301035104e-08
8699,1.4070687726075448e-08
8749,1.4639230272450732e-08
8799,1.2506573554560418e-08
8849,1.369740409984388e-08
8899,1.3416477706584828e-08
8949,1.2913810465420283e-08
8999,1.3754309691194067e-08
9049,1.2187989284484502e-08
9099,1.2704695961929247e-08
9149,1.3444592994460436e-08
9199,1.302711005735091e-08
9249,1.2244085745294342e-08
9299,1.2181848418890695e-08
9349,1.2386950132281527e-08
9399,1.2327237008946668e-08
9449,1.2023090079082976e-08
9499,1.2321025089079285e-08
9549,1.1470950411762715e-08
9599,1.2112428393606933e-08
9649,1.3074965110604353e-08
9699,1.2690622774869098e-08
9749,1.3270165410972368e-08
