step,Cov_batch_ik_01
49,1.9137119124934543e-06
99,4.195006113150157e-05
149,0.00016718808910809457
199,0.000492146413307637
249,0.0012607605895027518
299,0.0017185520846396685
349,0.002424013102427125
399,0.0031668622978031635
449,0.00306767993606627
499,0.0029962132684886456
549,0.0032059038057923317
599,0.0029188713524490595
649,0.0024302517995238304
699,0.0021885179448872805
749,0.0018493372481316328
799,0.001648609177209437
849,0.0013663647696375847
899,0.0010943750385195017
949,0.0010611976031213999
999,0.0008787221158854663
1049,0.0007223630091175437
1099,0.0007267645560204983
1149,0.0006670432048849761
1199,0.0005227350629866123
1249,0.0004756525158882141
1299,0.00041592170600779355
1349,0.0003728963201865554
1399,0.0003378061228431761
1449,0.00028129012207500637
1499,0.00027915576356463134
1549,0.00023468537256121635
1599,0.00021827491582371294
1649,0.00019960447389166802
1699,0.00018577714217826724
1749,0.00016908094403333962
1799,0.00014337952597998083
1849,0.00013917480828240514
1899,0.00012915246770717204
1949,0.00011485632421681657
1999,0.00011746570817194879
2049,0.0001016679234453477
2099,9.111508552450687e-05
2149,9.091541869565845e-05
2199,8.174663526006043e-05
2249,7.127778371796012e-05
2299,7.020441262284294e-05
2349,6.495950947282836e-05
2399,5.908666207687929e-05
2449,6.25788961770013e-05
2499,5.6240296544274315e-05
2549,4.935278411721811e-05
2599,4.426154919201508e-05
2649,4.42804885096848e-05
2699,4.321692176745273e-05
2749,4.023135988973081e-05
2799,3.3874603104777634e-05
2849,3.531701804604381e-05
2899,3.129149990854785e-05
2949,3.2146683224709705e-05
2999,2.6903739126282744e-05
3049,2.7541653253138065e-05
3099,2.753206717898138e-05
3149,2.6151486963499337e-05
3199,2.0848461645073257e-05
3249,2.3638547645532526e-05
3299,2.06774020625744e-05
3349,2.1041738364147022e-05
3399,1.984831214940641e-05
3449,1.804256135073956e-05
3499,1.631652776268311e-05
3549,1.6357338608941063e-05
3599,1.5336492651840672e-05
3649,1.3960565411252901e-05
3699,1.463062199036358e-05
3749,1.2140203580202069e-05
3799,1.2619550034287386e-05
3849,1.2380133739497978e-05
3899,1.1809805073426105e-05
3949,1.1136776265630033e-05
3999,9.865890206128825e-06
4049,8.986955435830168e-06
4099,8.142086699081119e-06
4149,8.966147106548306e-06
4199,8.158634955179878e-06
4249,7.613930392835755e-06
4299,7.326897502935026e-06
4349,7.1772883529774845e-06
4399,6.511439551104559e-06
4449,6.990035217313562e-06
4499,6.998800927249249e-06
4549,6.010837751091458e-06
4599,6.333137662295485e-06
4649,5.2671321100206114e-06
4699,5.487071121024201e-06
4749,4.80526568935602e-06
4799,4.808195626537781e-06
4849,4.024143891001586e-06
4899,4.120946869079489e-06
4949,3.3275732675974723e-06
4999,3.655339924080181e-06
5049,3.4849163057515398e-06
5099,3.23479002872773e-06
5149,3.1254305667971494e-06
5199,2.977581971208565e-06
5249,2.8598283279279713e-06
5299,2.905579776779632e-06
5349,3.0092023735051043e-06
5399,2.693256647035014e-06
5449,2.654156105563743e-06
5499,2.6528291527938563e-06
5549,2.5561121219652705e-06
5599,2.6056109163619112e-06
5649,2.1514429136004765e-06
5699,2.026078618655447e-06
5749,1.8944995190395275e-06
5799,1.9862934550474165e-06
5849,2.012119239225285e-06
5899,1.8385353541816585e-06
5949,1.6907654298847774e-06
5999,1.7096385818149429e-06
6049,1.6255357877525967e-06
6099,1.5862132158872555e-06
6149,1.4344677765620872e-06
6199,1.5131513464439195e-06
6249,1.2938178315380355e-06
6299,1.4156605629978003e-06
6349,1.2382877230265876e-06
6399,1.200884298668825e-06
6449,1.0977671536238631e-06
6499,1.0683299933589296e-06
6549,1.0187438874709187e-06
6599,1.0257654139422812e-06
6649,8.936378890211927e-07
6699,9.347942295789835e-07
6749,8.380628742088447e-07
6799,8.731369689485291e-07
6849,7.980647751537617e-07
6899,7.701432878093328e-07
6949,7.00013515597675e-07
6999,6.839883326392737e-07
7049,6.977775228733663e-07
7099,7.109784405656683e-07
7149,6.528115363835241e-07
7199,5.433564638224198e-07
7249,5.54836788069224e-07
7299,5.626988013318623e-07
7349,5.401045655162307e-07
7399,5.182770905776124e-07
7449,4.858535476159886e-07
7499,4.605820720371412e-07
7549,4.43286580775748e-07
7599,4.101661090771813e-07
7649,4.0857082694856217e-07
7699,3.978323377396009e-07
7749,4.0564702885603765e-07
7799,3.846595859613444e-07
7849,3.423630801080435e-07
7899,3.413060767343268e-07
7949,3.505279266846628e-07
7999,3.019113137270324e-07
8049,3.0209812962311844e-07
8099,2.6916208639704564e-07
8149,2.551973352638015e-07
8199,2.500452467302239e-07
8249,2.39804819557321e-07
8299,2.4757846972534026e-07
8349,2.1571158015376568e-07
8399,2.2432539026340237e-07
8449,2.197928381519887e-07
8499,2.2000395460963773e-07
8549,2.1112323622674012e-07
8599,1.9788657823482936e-07
8649,1.848462432008091e-07
8699,1.8989749150932766e-07
8749,1.9670238771141157e-07
8799,1.786742984677403e-07
8849,1.7872415014608123e-07
8899,1.689942337179673e-07
8949,1.7501525917396066e-07
8999,1.7011424802149122e-07
9049,1.6698032823114772e-07
9099,1.7742010527399543e-07
9149,1.6868048646756506e-07
9199,1.5414647691613936e-07
9249,1.518592398497276e-07
9299,1.595664969045174e-07
9349,1.501291961858442e-07
9399,1.5568654987418995e-07
9449,1.5765306216053432e-07
9499,1.510825029527041e-07
9549,1.4988560792517092e-07
9599,1.5481658977023471e-07
9649,1.409635643767615e-07
9699,1.5273320741471252e-07
9749,1.4572654549738218e-07
