step,Cor_feature_ij_10
49,0.759843349
99,0.720047593
149,0.47758761
199,0.924451947
249,0.878369212
299,0.693172574
349,0.919498205
399,0.859949827
449,0.558274508
499,0.756165743
549,0.807142973
599,0.73847115
649,0.643907189
699,0.591055334
749,0.696380615
799,0.624981761
849,0.611301541
899,0.606600642
949,0.56770432
999,0.612535596
1049,0.585259199
1099,0.571689785
1149,0.78615737
1199,0.884243488
1249,0.873671412
1299,0.665498137
1349,0.7216717
1399,0.907211065
1449,0.614893258
1499,0.662252307
1549,0.742257357
1599,0.812178254
1649,0.672098517
1699,0.896386504
1749,0.877388716
1799,0.657193542
1849,0.62914288
1899,0.816172838
1949,0.637059331
1999,0.711687326
2049,0.770034194
2099,0.631150842
2149,0.965654314
2199,0.908585727
2249,0.726186633
2299,0.94639945
2349,0.786886573
2399,0.796792567
2449,0.738308489
2499,0.7701478
2549,0.945571303
2599,0.643270195
2649,0.744327307
2699,0.730382919
2749,0.75388813
2799,0.951972485
2849,0.633994877
2899,0.895759761
2949,0.750312567
2999,0.816661417
3049,0.723630786
3099,0.696685672
3149,0.72167033
3199,0.785069108
3249,0.775431037
3299,0.763130307
3349,0.717789114
3399,0.7876091
3449,0.732314706
3499,0.739825964
3549,0.701252818
3599,0.735110402
3649,0.698541999
3699,0.657986164
3749,0.695761919
3799,0.667707026
3849,0.678391814
3899,0.681679308
3949,0.667759717
3999,0.683685422
4049,0.671547055
4099,0.631650925
4149,0.651700675
4199,0.635626495
4249,0.64736855
4299,0.77609241
4349,0.663195252
4399,0.840216517
4449,0.724153876
4499,0.708077431
4549,0.687746525
4599,0.691527069
4649,0.615525484
4699,0.638668537
4749,0.646363258
4799,0.638141453
4849,0.607426226
4899,0.641461611
4949,0.676341534
4999,0.65431875
5049,0.680108488
5099,0.62193656
5149,0.627504528
5199,0.62444973
5249,0.617690682
5299,0.582831383
5349,0.653589606
5399,0.68548131
5449,0.652711987
5499,0.650335371
5549,0.644744337
5599,0.656864762
5649,0.668293178
5699,0.65241617
5749,0.66578722
5799,0.650931716
5849,0.67671454
5899,0.658819556
5949,0.667414188
5999,0.648726404
6049,0.656560004
6099,0.678168893
6149,0.653566837
6199,0.661903501
6249,0.666992426
6299,0.657323956
6349,0.634862423
6399,0.665827513
6449,0.638237357
6499,0.560930014
6549,0.618901074
6599,0.61898303
6649,0.604272246
6699,0.707057059
6749,0.701567888
6799,0.695713639
6849,0.658824563
6899,0.663431406
6949,0.649291396
6999,0.673929691
7049,0.699815154
7099,0.693565845
7149,0.675569296
7199,0.659926057
7249,0.680781782
7299,0.661677718
7349,0.672175884
7399,0.666271448
7449,0.664701462
7499,0.673306823
7549,0.659121811
7599,0.668460965
7649,0.655563831
7699,0.655079842
7749,0.671001196
7799,0.676536441
7849,0.646663785
7899,0.650351286
7949,0.668435216
7999,0.661946297
8049,0.640010357
8099,0.644254208
8149,0.660205305
8199,0.652222991
8249,0.656504333
8299,0.645125389
8349,0.636717677
8399,0.659245312
8449,0.65807122
8499,0.650188029
8549,0.654009938
8599,0.64775598
8649,0.652555466
8699,0.660352588
8749,0.661820769
8799,0.651875973
8849,0.655035973
8899,0.65314424
8949,0.655844331
8999,0.64612174
9049,0.645650029
9099,0.638870835
9149,0.657201827
9199,0.658961654
9249,0.656872392
9299,0.645065784
9349,0.645911455
9399,0.651777506
9449,0.645475686
9499,0.655487418
9549,0.645245075
9599,0.657613993
9649,0.645596266
9699,0.646211743
9749,0.652608156
