step,Cov_batch_ik_10
49,0.407013863325119
99,0.291367769241333
149,0.3667965531349182
199,0.28848496079444885
249,0.25340327620506287
299,0.2209663987159729
349,0.1757051944732666
399,0.1872556209564209
449,0.1381281614303589
499,0.12483692169189453
549,0.11021962761878967
599,0.10382552444934845
649,0.07783322781324387
699,0.07363209873437881
749,0.0663222000002861
799,0.05565536022186279
849,0.051539815962314606
899,0.045663610100746155
949,0.03875638544559479
999,0.030174870043992996
1049,0.02106861211359501
1099,0.023421451449394226
1149,0.02405499294400215
1199,0.018329549580812454
1249,0.014789937064051628
1299,0.013450933620333672
1349,0.012409647926688194
1399,0.01117386668920517
1449,0.010493352077901363
1499,0.008772455155849457
1549,0.008867394179105759
1599,0.007583304308354855
1649,0.007121369242668152
1699,0.006340074352920055
1749,0.004612421616911888
1799,0.004506075754761696
1849,0.0043359724804759026
1899,0.003896127687767148
1949,0.003113072831183672
1999,0.0031423689797520638
2049,0.0025245577562600374
2099,0.0015965985367074609
2149,0.0018012281507253647
2199,0.0011040144599974155
2249,0.0011899862438440323
2299,0.001019319286569953
2349,0.0009333554189652205
2399,0.00040988269029185176
2449,0.0007583869155496359
2499,0.0005419911467470229
2549,0.00040921021718531847
2599,0.0005085975863039494
2649,0.0003494947450235486
2699,0.00032236642437055707
2749,0.0002448861487209797
2799,0.0002704744110815227
2849,0.0002012212498812005
2899,9.729127486934885e-05
2949,0.00014523736899718642
2999,0.00016098999185487628
3049,0.00011421472299844027
3099,0.00010114320321008563
3149,8.307702955789864e-05
3199,8.112462819553912e-05
3249,8.554264059057459e-05
3299,7.168360752984881e-05
3349,5.493547723744996e-05
3399,5.429387238109484e-05
3449,6.589411350432783e-05
3499,5.143113594385795e-05
3549,5.1444967539282516e-05
3599,3.8896167097846046e-05
3649,3.681980160763487e-05
3699,2.9699411243200302e-05
3749,2.628706715768203e-05
3799,2.8034584829583764e-05
3849,2.7946847694693133e-05
3899,2.0009600120829418e-05
3949,2.4286360712721944e-05
3999,1.7614263924770057e-05
4049,1.4563405784429051e-05
4099,1.5561767213512212e-05
4149,1.6333622625097632e-05
4199,1.0838162779691629e-05
4249,1.2296320164750796e-05
4299,1.0643099813023582e-05
4349,1.0296200343873352e-05
4399,9.104403943638317e-06
4449,8.334809535881504e-06
4499,7.745557013549842e-06
4549,6.281580681388732e-06
4599,6.265639967750758e-06
4649,5.721405614167452e-06
4699,4.556479325401597e-06
4749,5.054969733464532e-06
4799,4.5672586566070095e-06
4849,4.744188117911108e-06
4899,3.38961308443686e-06
4949,3.2858620215847623e-06
4999,4.1578750824555755e-06
5049,3.0953810892242473e-06
5099,2.7811797735921573e-06
5149,3.1106421829463216e-06
5199,2.153050900233211e-06
5249,2.372642484260723e-06
5299,1.9402280031499686e-06
5349,1.8635479364093044e-06
5399,1.908421381813241e-06
5449,1.7012143871397711e-06
5499,1.6409937870776048e-06
5549,1.5495686511712847e-06
5599,1.4633005775976926e-06
5649,1.4904737781762378e-06
5699,1.2317248092585942e-06
5749,1.2489389291658881e-06
5799,1.090674004444736e-06
5849,1.040455344991642e-06
5899,9.77417585090734e-07
5949,8.480540714117524e-07
5999,9.202732371704769e-07
6049,8.975373475550441e-07
6099,7.228743470477639e-07
6149,9.094073334381392e-07
6199,8.431671858488698e-07
6249,7.387429263872036e-07
6299,6.107026138124638e-07
6349,7.124357352950028e-07
6399,6.453780656556773e-07
6449,6.052676440049254e-07
6499,5.563905460803653e-07
6549,5.426543339126511e-07
6599,5.544054602069082e-07
6649,5.108489062877197e-07
6699,4.615266959717701e-07
6749,5.152556923349039e-07
6799,4.795078893948812e-07
6849,4.3502933522177045e-07
6899,4.203444063932693e-07
6949,4.474529760045698e-07
6999,4.0164954384636076e-07
7049,3.622235169586929e-07
7099,3.3145624911412597e-07
7149,3.3002197596943006e-07
7199,4.1009576534634107e-07
7249,3.508913550831494e-07
7299,3.2731281862652395e-07
7349,2.9407539159365115e-07
7399,3.0413590934585955e-07
7449,2.654175830230088e-07
7499,2.625945967338339e-07
7549,2.3643532642836362e-07
7599,2.898749187352223e-07
7649,2.760837674031791e-07
7699,2.4515827590221306e-07
7749,2.5167943817905325e-07
7799,2.4070840254353243e-07
7849,2.2518980813401868e-07
7899,2.2380947939382168e-07
7949,2.055134871170594e-07
7999,1.9788893723671208e-07
8049,2.023529077632702e-07
8099,2.1197044475229632e-07
8149,1.9703811915405822e-07
8199,1.8022491587998957e-07
8249,1.7874475588541827e-07
8299,1.8501538079362945e-07
8349,1.7124315832006687e-07
8399,1.6221146381667495e-07
8449,1.649778766932286e-07
8499,1.716917097382975e-07
8549,1.7181926637022116e-07
8599,1.7373524485719827e-07
8649,1.655398733646507e-07
8699,1.6213520837027318e-07
8749,1.6404516145485104e-07
8799,1.644603742079198e-07
8849,1.648495242534409e-07
8899,1.5937689568090718e-07
8949,1.6029009941576078e-07
8999,1.6205575548156048e-07
9049,1.6154757531694486e-07
9099,1.564047096280774e-07
9149,1.5498301308980444e-07
9199,1.5878927683843358e-07
9249,1.5738505965146032e-07
9299,1.575033792278191e-07
9349,1.5520996043960622e-07
9399,1.5608947023793007e-07
9449,1.533510953777295e-07
9499,1.601693497832457e-07
9549,1.6023099647100025e-07
9599,1.5733429847841762e-07
9649,1.5914608297862287e-07
9699,1.545266030689163e-07
9749,1.5409244724651217e-07
