step,Cov_batch_ik_00
49,0.0003448925563134253
99,0.0027792418841272593
149,0.00950414314866066
199,0.01594364456832409
249,0.008629106916487217
299,0.02020379528403282
349,0.008602971211075783
399,0.01197454147040844
449,0.010971475392580032
499,0.008075046353042126
549,0.008969463407993317
599,0.005193143617361784
649,0.004305524751543999
699,0.004807162564247847
749,0.003513088682666421
799,0.003001186531037092
849,0.0024374094791710377
899,0.002485541393980384
949,0.0014162547886371613
999,0.0010985835688188672
1049,0.0008066630107350647
1099,0.000726488302461803
1149,0.0005638984148390591
1199,0.0005508780595846474
1249,0.00034788198536261916
1299,0.00035017941263504326
1349,0.0002818956854753196
1399,0.00022337895643431693
1449,0.0001820054167183116
1499,0.0001549675507703796
1549,0.00013234282960183918
1599,0.00011345853272359818
1649,0.00010529967403272167
1699,8.903642446966842e-05
1749,7.723223825450987e-05
1799,6.374002987286076e-05
1849,5.619102012133226e-05
1899,4.5962780859554186e-05
1949,4.2217085137963295e-05
1999,3.4762892028084025e-05
2049,3.081574686802924e-05
2099,2.6152742066187784e-05
2149,2.5906912924256176e-05
2199,2.0181183572276495e-05
2249,1.7676882634987123e-05
2299,1.4752172319276724e-05
2349,1.3743180716119241e-05
2399,1.1049830391129944e-05
2449,1.0268709957017563e-05
2499,8.911099030228797e-06
2549,7.956588888191618e-06
2599,7.547265340690501e-06
2649,6.3771817622182425e-06
2699,5.563543709286023e-06
2749,4.957393684890121e-06
2799,4.643795818992658e-06
2849,3.6601074953068746e-06
2899,3.32281160808634e-06
2949,2.875038262573071e-06
2999,2.5906169867084827e-06
3049,2.2304284357232973e-06
3099,2.0555983155645663e-06
3149,1.7977858988160733e-06
3199,1.6415541495007346e-06
3249,1.5192148339338019e-06
3299,1.2742048056679778e-06
3349,1.162630042017554e-06
3399,1.0342408813812654e-06
3449,9.386323540638841e-07
3499,8.602089565101778e-07
3549,7.491693736483285e-07
3599,6.726917831656465e-07
3649,6.343466907310358e-07
3699,5.630467398987093e-07
3749,5.260408215690404e-07
3799,4.551040717615251e-07
3849,4.197208056666568e-07
3899,4.0691696767680696e-07
3949,3.3040026892194874e-07
3999,3.2611148981231963e-07
4049,2.8249806405256095e-07
4099,2.858165828456549e-07
4149,2.502803511106322e-07
4199,2.2950358413709182e-07
4249,1.977506940420426e-07
4299,1.8968228232552065e-07
4349,1.5802000064013555e-07
4399,1.4574300166714238e-07
4449,1.4155943972582463e-07
4499,1.2788446213107818e-07
4549,1.2126554338465212e-07
4599,1.1124456023026141e-07
4649,1.0309533138297411e-07
4699,9.851136439920083e-08
4749,8.923260708115777e-08
4799,8.360527914419436e-08
4849,7.355281894660948e-08
4899,6.954725506602699e-08
4949,6.636001614879206e-08
4999,5.823384086056649e-08
5049,5.736118779964272e-08
5099,5.1507235809822305e-08
5149,5.1624876817868426e-08
5199,4.3992866238795614e-08
5249,4.508602202690781e-08
5299,4.08313312050268e-08
5349,3.9659433070937666e-08
5399,3.509170909410386e-08
5449,3.4262210846236485e-08
5499,3.062048037349996e-08
5549,2.9518714583787187e-08
5599,2.9226436382145948e-08
5649,2.771242968435672e-08
5699,2.468958371082408e-08
5749,2.3989329633877787e-08
5799,2.1929892568550713e-08
5849,2.089165818119909e-08
5899,1.9608188850384067e-08
5949,1.9105135251606953e-08
5999,1.720412079464495e-08
6049,1.7176601474488962e-08
6099,1.6279580350442302e-08
6149,1.5658383034633516e-08
6199,1.398994076140525e-08
6249,1.4031924955304476e-08
6299,1.34721247491143e-08
6349,1.2775844382417745e-08
6399,1.1591845705538617e-08
6449,1.174090691336005e-08
6499,1.0642228431834155e-08
6549,1.0057919830330775e-08
6599,9.728375438555759e-09
6649,9.216395646660658e-09
6699,9.355551888745595e-09
6749,8.638814108508086e-09
6799,8.09673039725567e-09
6849,8.026188602627826e-09
6899,8.080331070914326e-09
6949,7.726548290065693e-09
6999,7.398321955065512e-09
7049,7.116310651866797e-09
7099,6.68263044900641e-09
7149,6.580471723083292e-09
7199,6.260339358021838e-09
7249,6.159480037126741e-09
7299,5.761967791784173e-09
7349,5.53661072544287e-09
7399,5.307002837184882e-09
7449,5.097674726783907e-09
7499,5.02297048399214e-09
7549,4.94294161157427e-09
7599,4.930095443000937e-09
7649,4.716017354411406e-09
7699,5.109495937460906e-09
7749,4.48237535977114e-09
7799,4.437601397455637e-09
7849,4.330189984358412e-09
7899,4.064100611600452e-09
7949,4.0342880147647975e-09
7999,4.1185579391367355e-09
8049,3.941373893923128e-09
8099,3.860311181824727e-09
8149,3.558598304920224e-09
8199,3.600689746363628e-09
8249,3.600253650759555e-09
8299,3.3971421231626664e-09
8349,3.604128329115497e-09
8399,3.3374758512394465e-09
8449,3.230896217232271e-09
8499,3.295200556863165e-09
8549,3.344342802691358e-09
8599,3.1345905870949764e-09
8649,3.2466562771560348e-09
8699,3.0567659514701973e-09
8749,3.1489995055977715e-09
8799,3.0087543567702824e-09
8849,2.8869100443529305e-09
8899,3.019492211819852e-09
8949,2.9748732366385866e-09
8999,3.1380764653476945e-09
9049,2.8946767205439983e-09
9099,3.0038618259453642e-09
9149,2.8704716381611206e-09
9199,2.767570395079133e-09
9249,2.772110541116035e-09
9299,2.980799163054826e-09
9349,2.8076923008768517e-09
9399,2.873884907828028e-09
9449,2.8803199825233605e-09
9499,2.817720279324476e-09
9549,2.6841731060045504e-09
9599,2.7994773166284403e-09
9649,2.9115410082880544e-09
9699,2.87682677679868e-09
9749,2.777128305098131e-09
