step,Cov_batch_ik_10
49,0.008268940262496471
99,0.0264829620718956
149,0.041533440351486206
199,0.05387154221534729
249,0.05489819496870041
299,0.0456131175160408
349,0.036710940301418304
399,0.029345566406846046
449,0.021880725398659706
499,0.01822684518992901
549,0.01547948271036148
599,0.013561098836362362
649,0.01125527173280716
699,0.009676596149802208
749,0.008369223214685917
799,0.006952352821826935
849,0.005972244776785374
899,0.005185418762266636
949,0.004547308199107647
999,0.003921792842447758
1049,0.0034080571494996548
1099,0.00296434061601758
1149,0.0025455071590840816
1199,0.002164997160434723
1249,0.0018236901378259063
1299,0.0015531983226537704
1349,0.0013067466206848621
1399,0.0011167759075760841
1449,0.0009631358552724123
1499,0.0008161415462382138
1549,0.0007151068421080709
1599,0.000621324114035815
1649,0.0005391038721427321
1699,0.0004711512301582843
1749,0.000408621272072196
1799,0.00035293272230774164
1849,0.0003056273271795362
1899,0.00026181654538959265
1949,0.00023065609275363386
1999,0.00020039694209117442
2049,0.00017412417219020426
2099,0.00015095264825504273
2149,0.00013335165567696095
2199,0.00011703856580425054
2249,0.000101341305708047
2299,9.101107571041211e-05
2349,7.889189873822033e-05
2399,6.90430315444246e-05
2449,6.133050192147493e-05
2499,5.462428816827014e-05
2549,4.818160232389346e-05
2599,4.2307787225581706e-05
2649,3.754939461941831e-05
2699,3.32621275447309e-05
2749,2.9749106033705175e-05
2799,2.6433528546476737e-05
2849,2.3740525648463517e-05
2899,2.10809703276027e-05
2949,1.8838887626770884e-05
2999,1.684469316387549e-05
3049,1.5054830328153912e-05
3099,1.3385786587605253e-05
3149,1.1900488061655778e-05
3199,1.0599380402709357e-05
3249,9.707908247946762e-06
3299,8.80542938830331e-06
3349,7.950733561301604e-06
3399,7.236732471938012e-06
3449,6.603895599255338e-06
3499,5.943223186477553e-06
3549,5.412467544374522e-06
3599,4.948691639583558e-06
3649,4.493296728469431e-06
3699,4.099406396562699e-06
3749,3.7172969769017072e-06
3799,3.3623427952989005e-06
3849,3.0838557449897053e-06
3899,2.743674485827796e-06
3949,2.5001509129651822e-06
3999,2.277133944517118e-06
4049,2.072289362331503e-06
4099,1.8638550045579905e-06
4149,1.701629798844806e-06
4199,1.5689112160544028e-06
4249,1.4371728411788354e-06
4299,1.313201437369571e-06
4349,1.210501295645372e-06
4399,1.1107172213087324e-06
4449,1.021214075080934e-06
4499,9.28987674342352e-07
4549,8.52024527375761e-07
4599,7.950455938043888e-07
4649,7.302697895283927e-07
4699,6.826853677921463e-07
4749,6.323257366602775e-07
4799,5.806569447486254e-07
4849,5.420381512521999e-07
4899,5.000448481951025e-07
4949,4.640439215108927e-07
4999,4.304342553496099e-07
5049,4.049964559271757e-07
5099,3.807572284131311e-07
5149,3.552526663952449e-07
5199,3.341237118092977e-07
5249,3.123039959973539e-07
5299,2.926994966401253e-07
5349,2.7739440611185273e-07
5399,2.5957615434890613e-07
5449,2.481882006577507e-07
5499,2.3245615921041463e-07
5549,2.190094789966679e-07
5599,2.0861502036950696e-07
5649,1.9662144268295378e-07
5699,1.871708121825577e-07
5749,1.7832432774866902e-07
5799,1.6914999889650062e-07
5849,1.608622994808684e-07
5899,1.5384290463771322e-07
5949,1.4626741062784276e-07
5999,1.396847579826499e-07
6049,1.3301334433890588e-07
6099,1.2551592476484075e-07
6149,1.1952775480494893e-07
6199,1.1455247772573784e-07
6249,1.0996245691785589e-07
6299,1.0515586268411425e-07
6349,1.0073816270050884e-07
6399,9.445054161005828e-08
6449,9.044265425472986e-08
6499,8.600733281127759e-08
6549,8.322304978491957e-08
6599,7.981298466575026e-08
6649,7.763311771213921e-08
6699,7.431448523220752e-08
6749,7.155763626087719e-08
6799,6.899153959238902e-08
6849,6.649367634281589e-08
6899,6.325598178591463e-08
6949,6.124629692294548e-08
6999,5.980817263662175e-08
7049,5.7408328757446725e-08
7099,5.613858178321607e-08
7149,5.327384400288793e-08
7199,5.2225182400889025e-08
7249,5.070078046287563e-08
7299,4.912126172484932e-08
7349,4.751318627427281e-08
7399,4.59329640989381e-08
7449,4.4011223110373976e-08
7499,4.294749444966328e-08
7549,4.206274795137688e-08
7599,4.074339443604913e-08
7649,3.993487851516875e-08
7699,3.8928305912122596e-08
7749,3.8177454086962825e-08
7799,3.704305129303975e-08
7849,3.617655153220767e-08
7899,3.555745564653989e-08
7949,3.4977755802856336e-08
7999,3.3818736255852855e-08
8049,3.313808960569986e-08
8099,3.245997604039985e-08
8149,3.2176497910541e-08
8199,3.120528901945363e-08
8249,3.119520997074687e-08
8299,3.068800680239292e-08
8349,3.046000074391486e-08
8399,2.9847036842056696e-08
8449,2.894283390730834e-08
8499,2.8604556945310833e-08
8549,2.8159437448493918e-08
8599,2.7800407309541697e-08
8649,2.807729870824005e-08
8699,2.706547519437663e-08
8749,2.7210708353209156e-08
8799,2.6902659655547723e-08
8849,2.678421928692387e-08
8899,2.653347408454465e-08
8949,2.629958117950082e-08
8999,2.6364734395656342e-08
9049,2.6088649462963076e-08
9099,2.593947634466076e-08
9149,2.5748637000333474e-08
9199,2.5587215901623495e-08
9249,2.5550868087975687e-08
9299,2.563846734915387e-08
9349,2.534169318835211e-08
9399,2.5275213033637556e-08
9449,2.5082401933218534e-08
9499,2.526406284175664e-08
9549,2.5216696286634033e-08
9599,2.541561983093743e-08
9649,2.5102771417095937e-08
9699,2.5102504963570027e-08
9749,2.501169049651253e-08
