step,Cov_batch_ik_10
49,0.029435191303491592
99,0.017107335850596428
149,0.012180278077721596
199,0.009151125326752663
249,0.007460039108991623
299,0.006180883385241032
349,0.005245586391538382
399,0.004436935298144817
449,0.0038463491946458817
499,0.0032860185019671917
549,0.002977591473609209
599,0.002593953860923648
649,0.002306016394868493
699,0.002042030915617943
749,0.0018102978356182575
799,0.0016019251197576523
849,0.0014323159120976925
899,0.0012895171530544758
949,0.0011503088753670454
999,0.0010604090057313442
1049,0.0009294983465224504
1099,0.0008559481939300895
1149,0.0007799016893841326
1199,0.0006834901869297028
1249,0.000642088707536459
1299,0.0005788535345345736
1349,0.0005320346681401134
1399,0.0004920840146951377
1449,0.0004513136518653482
1499,0.000423634221078828
1549,0.00038293091347441077
1599,0.0003610136918723583
1649,0.0003333573113195598
1699,0.00030851425253786147
1749,0.0002911936608143151
1799,0.00027375330682843924
1849,0.000256867497228086
1899,0.0002456113579683006
1949,0.00023013057943899184
1999,0.0002194564149249345
2049,0.00020716206927318126
2099,0.00019762496231123805
2149,0.00018564349738880992
2199,0.00017968754400499165
2249,0.0001736156700644642
2299,0.00016939020133577287
2349,0.00016160914674401283
2399,0.0001559958909638226
2449,0.00015178580360952765
2499,0.0001496356853749603
2549,0.0001455314049962908
2599,0.0001396830048179254
2649,0.00013440210022963583
2699,0.0001326284254901111
2749,0.000130055210320279
2799,0.00012474216055124998
2849,0.00012125831563025713
2899,0.00012014825915684924
2949,0.00011765088129322976
2999,0.00011697663285303861
3049,0.00011408969294279814
3099,0.00011305611405987293
3149,0.00011212427489226684
3199,0.00011085676669608802
3249,0.00010932357690762728
3299,0.00010642797860782593
3349,0.00010466809180798009
3399,0.0001036166722769849
3449,0.00010358967119827867
3499,0.00010005295189330354
3549,9.854485688265413e-05
3599,9.758918167790398e-05
3649,9.565446089254692e-05
3699,9.444855095352978e-05
3749,9.28619847400114e-05
3799,9.123470226768404e-05
3849,9.087159560294822e-05
3899,8.977833931567147e-05
3949,8.86756824911572e-05
3999,8.76797130331397e-05
4049,8.612908277427778e-05
4099,8.453484042547643e-05
4149,8.385641558561474e-05
4199,8.297675231005996e-05
4249,8.156297553796321e-05
4299,8.100889681372792e-05
4349,7.96553649706766e-05
4399,7.888893014751375e-05
4449,7.852949056541547e-05
4499,7.58379464969039e-05
4549,7.573676703032106e-05
4599,7.320550503209233e-05
4649,7.343397010117769e-05
4699,7.219122926471755e-05
4749,7.140585512388498e-05
4799,7.072182052070275e-05
4849,6.950837996555492e-05
4899,6.84705883031711e-05
4949,6.680427759420127e-05
4999,6.588520773220807e-05
5049,6.564268551301211e-05
5099,6.46224434603937e-05
5149,6.370512710418552e-05
5199,6.267230492085218e-05
5249,6.161612691357732e-05
5299,6.0996109823463485e-05
5349,6.0342237702570856e-05
5399,5.938810500083491e-05
5449,5.803461681352928e-05
5499,5.715552833862603e-05
5549,5.596207483904436e-05
5599,5.611211236100644e-05
5649,5.4550779168494046e-05
5699,5.3896823374088854e-05
5749,5.3492731240112334e-05
5799,5.2576309826690704e-05
5849,5.1244474889244884e-05
5899,5.009784217691049e-05
5949,4.998762597097084e-05
5999,4.9663722165860236e-05
6049,4.827851807931438e-05
6099,4.7280558646889403e-05
6149,4.711873043561354e-05
6199,4.658175021177158e-05
6249,4.576874562189914e-05
6299,4.49926737928763e-05
6349,4.4134292693343014e-05
6399,4.422816709848121e-05
6449,4.3020401790272444e-05
6499,4.238471228745766e-05
6549,4.1636543755885214e-05
6599,4.072354931849986e-05
6649,4.035721212858334e-05
6699,3.9558544813189656e-05
6749,3.923170152120292e-05
6799,3.888838546117768e-05
6849,3.831172944046557e-05
6899,3.738975647138432e-05
6949,3.724368434632197e-05
6999,3.6511024518404156e-05
7049,3.6006036680191755e-05
7099,3.5965182178188115e-05
7149,3.4625030821189284e-05
7199,3.4753298677969724e-05
7249,3.443721652729437e-05
7299,3.378244218765758e-05
7349,3.300528624095023e-05
7399,3.218432539142668e-05
7449,3.2678504794603214e-05
7499,3.2023519452195615e-05
7549,3.177997496095486e-05
7599,3.156967432005331e-05
7649,3.082834155065939e-05
7699,3.0400471587199718e-05
7749,3.0875053198542446e-05
7799,3.0151692044455558e-05
7849,2.9952137992950156e-05
7899,2.9543643904617056e-05
7949,2.9245678888401017e-05
7999,2.8651153115788475e-05
8049,2.8745733288815245e-05
8099,2.8639344236580655e-05
8149,2.8612786991288885e-05
8199,2.804733594530262e-05
8249,2.769814818748273e-05
8299,2.7957687052548863e-05
8349,2.7841690098284744e-05
8399,2.7100297302240506e-05
8449,2.7471542125567794e-05
8499,2.6944097044179216e-05
8549,2.7405694709159434e-05
8599,2.6521982363192365e-05
8649,2.67051891569281e-05
8699,2.6559042453300208e-05
8749,2.6274305128026754e-05
8799,2.634086922626011e-05
8849,2.6222762244287878e-05
8899,2.606624548207037e-05
8949,2.610618139442522e-05
8999,2.620407030917704e-05
9049,2.636897079355549e-05
9099,2.551681609475054e-05
9149,2.5745397579157725e-05
9199,2.620850136736408e-05
9249,2.5441840989515185e-05
9299,2.5647310394560918e-05
9349,2.578141175035853e-05
9399,2.562674126238562e-05
9449,2.5799021386774257e-05
9499,2.5415098207304254e-05
9549,2.5457917217863724e-05
9599,2.549233249737881e-05
9649,2.5257621018681675e-05
9699,2.562276495154947e-05
9749,2.5775403628358617e-05
