FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                 	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                  	|  -              	|  708417         	|  2101.7         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                     	|  41.317         	|  50             	|  2065.8         	|  98.293         	|
|  run_training_batch                                                                                                                                                     	|  0.060446       	|  19500          	|  1178.7         	|  56.083         	|
|  [LightningModule]Toymodel.optimizer_step                                                                                                                               	|  0.060201       	|  19500          	|  1173.9         	|  55.855         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                           	|  0.04315        	|  19500          	|  841.42         	|  40.035         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                                	|  0.015858       	|  19500          	|  309.23         	|  14.713         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                           	|  0.0082417      	|  19500          	|  160.71         	|  7.6468         	|
|  [LightningModule]Toymodel.on_validation_epoch_start                                                                                                                    	|  9.2555         	|  11             	|  101.81         	|  4.8442         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                         	|  0.0029347      	|  19902          	|  58.406         	|  2.779          	|
|  [LightningModule]Toymodel.transfer_batch_to_device                                                                                                                     	|  0.0028863      	|  19902          	|  57.444         	|  2.7332         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                             	|  0.00047651     	|  19500          	|  9.292          	|  0.44212        	|
|  [LightningModule]Toymodel.optimizer_zero_grad                                                                                                                          	|  0.0001901      	|  19500          	|  3.707          	|  0.17638        	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                         	|  0.0091119      	|  402            	|  3.663          	|  0.17429        	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_end        	|  0.24436        	|  11             	|  2.688          	|  0.1279         	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                      	|  0.0061219      	|  402            	|  2.461          	|  0.1171         	|
|  [LightningModule]Toymodel.configure_gradient_clipping                                                                                                                  	|  3.1692e-05     	|  19500          	|  0.618          	|  0.029405       	|
|  [_EvaluationLoop].val_next                                                                                                                                             	|  0.0012357      	|  403            	|  0.498          	|  0.023695       	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  2.4051e-05     	|  19500          	|  0.469          	|  0.022315       	|
|  [Callback]TQDMProgressBar.on_train_batch_start                                                                                                                         	|  4.9231e-06     	|  19500          	|  0.096          	|  0.0045677      	|
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                              	|  4.8718e-06     	|  19500          	|  0.095          	|  0.0045201      	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_optimizer_step 	|  3.2308e-06     	|  19500          	|  0.063          	|  0.0029976      	|
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                            	|  3.1282e-06     	|  19500          	|  0.061          	|  0.0029024      	|
|  [Callback]ModelSummary.on_after_backward                                                                                                                               	|  2.4103e-06     	|  19500          	|  0.047          	|  0.0022363      	|
|  [LightningModule]Toymodel.on_after_batch_transfer                                                                                                                      	|  1.6079e-06     	|  19902          	|  0.032          	|  0.0015226      	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                    	|  7.9602e-05     	|  402            	|  0.032          	|  0.0015226      	|
|  [Callback]ModelSummary.on_train_batch_start                                                                                                                            	|  1.641e-06      	|  19500          	|  0.032          	|  0.0015226      	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_zero_grad      	|  1.641e-06      	|  19500          	|  0.032          	|  0.0015226      	|
|  [Callback]ModelSummary.on_before_backward                                                                                                                              	|  1.641e-06      	|  19500          	|  0.032          	|  0.0015226      	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_backward       	|  1.641e-06      	|  19500          	|  0.032          	|  0.0015226      	|
|  [LightningModule]Toymodel.on_train_batch_end                                                                                                                           	|  1.5897e-06     	|  19500          	|  0.031          	|  0.001475       	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_start     	|  1.5897e-06     	|  19500          	|  0.031          	|  0.001475       	|
|  [LightningModule]Toymodel.on_before_zero_grad                                                                                                                          	|  1.5385e-06     	|  19500          	|  0.03           	|  0.0014274      	|
|  [LightningModule]Toymodel.on_validation_epoch_end                                                                                                                      	|  0.0014545      	|  11             	|  0.016          	|  0.00076129     	|
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                         	|  0.00032        	|  50             	|  0.016          	|  0.00076129     	|
|  [Callback]TQDMProgressBar.on_before_backward                                                                                                                           	|  8.2051e-07     	|  19500          	|  0.016          	|  0.00076129     	|
