FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                 	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                  	|  -              	|  705625         	|  2569.1         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                     	|  50.599         	|  50             	|  2529.9         	|  98.475         	|
|  run_training_batch                                                                                                                                                     	|  0.085769       	|  19500          	|  1672.5         	|  65.1           	|
|  [LightningModule]Toymodel.optimizer_step                                                                                                                               	|  0.085425       	|  19500          	|  1665.8         	|  64.839         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                           	|  0.061498       	|  19500          	|  1199.2         	|  46.678         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                                	|  0.022823       	|  19500          	|  445.04         	|  17.323         	|
|  [LightningModule]Toymodel.on_validation_epoch_start                                                                                                                    	|  12.266         	|  11             	|  134.92         	|  5.2517         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                           	|  0.0039595      	|  19500          	|  77.21          	|  3.0053         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                         	|  0.0036243      	|  19702          	|  71.405         	|  2.7794         	|
|  [LightningModule]Toymodel.transfer_batch_to_device                                                                                                                     	|  0.0035776      	|  19702          	|  70.486         	|  2.7436         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                             	|  0.00071        	|  19500          	|  13.845         	|  0.5389         	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_end        	|  0.28564        	|  11             	|  3.142          	|  0.1223         	|
|  [LightningModule]Toymodel.optimizer_zero_grad                                                                                                                          	|  0.00015462     	|  19500          	|  3.015          	|  0.11736        	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                         	|  0.01455        	|  202            	|  2.939          	|  0.1144         	|
|  [_EvaluationLoop].val_next                                                                                                                                             	|  0.0029261      	|  203            	|  0.594          	|  0.023121       	|
|  [LightningModule]Toymodel.configure_gradient_clipping                                                                                                                  	|  2.0667e-05     	|  19500          	|  0.403          	|  0.015686       	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                      	|  0.0018564      	|  202            	|  0.375          	|  0.014596       	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  1.9231e-05     	|  19500          	|  0.375          	|  0.014596       	|
|  [Callback]ModelSummary.on_train_batch_start                                                                                                                            	|  4.1026e-06     	|  19500          	|  0.08           	|  0.0031139      	|
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                          	|  0.0071818      	|  11             	|  0.079          	|  0.003075       	|
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                              	|  4e-06          	|  19500          	|  0.078          	|  0.0030361      	|
|  [Callback]TQDMProgressBar.on_before_backward                                                                                                                           	|  3.1795e-06     	|  19500          	|  0.062          	|  0.0024133      	|
|  [LightningModule]Toymodel.on_train_batch_start                                                                                                                         	|  2.4615e-06     	|  19500          	|  0.048          	|  0.0018683      	|
|  [Callback]TQDMProgressBar.on_before_zero_grad                                                                                                                          	|  2.4615e-06     	|  19500          	|  0.048          	|  0.0018683      	|
|  [Callback]ModelSummary.on_after_backward                                                                                                                               	|  2.4615e-06     	|  19500          	|  0.048          	|  0.0018683      	|
|  [Callback]TQDMProgressBar.on_train_batch_start                                                                                                                         	|  2.4103e-06     	|  19500          	|  0.047          	|  0.0018294      	|
|  [Strategy]SingleDeviceStrategy.on_train_batch_start                                                                                                                    	|  2.4103e-06     	|  19500          	|  0.047          	|  0.0018294      	|
|  [Callback]ModelSummary.on_before_backward                                                                                                                              	|  2.359e-06      	|  19500          	|  0.046          	|  0.0017905      	|
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                           	|  0.00092        	|  50             	|  0.046          	|  0.0017905      	|
|  [LightningModule]Toymodel.on_after_batch_transfer                                                                                                                      	|  1.6242e-06     	|  19702          	|  0.032          	|  0.0012456      	|
|  [Callback]ModelSummary.on_before_optimizer_step                                                                                                                        	|  1.641e-06      	|  19500          	|  0.032          	|  0.0012456      	|
|  [Callback]ModelSummary.on_before_zero_grad                                                                                                                             	|  1.641e-06      	|  19500          	|  0.032          	|  0.0012456      	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_backward       	|  1.641e-06      	|  19500          	|  0.032          	|  0.0012456      	|
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                            	|  1.641e-06      	|  19500          	|  0.032          	|  0.0012456      	|
|  [LightningModule]Toymodel.on_validation_model_eval                                                                                                                     	|  0.0014545      	|  11             	|  0.016          	|  0.00062278     	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_zero_grad      	|  8.2051e-07     	|  19500          	|  0.016          	|  0.00062278     	|
|  [LightningModule]Toymodel.on_train_batch_end                                                                                                                           	|  8.2051e-07     	|  19500          	|  0.016          	|  0.00062278     	|
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                            	|  0.0014545      	|  11             	|  0.016          	|  0.00062278     	|
|  [LightningModule]Toymodel.on_before_backward                                                                                                                           	|  8.2051e-07     	|  19500          	|  0.016          	|  0.00062278     	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_after_backward        	|  8.2051e-07     	|  19500          	|  0.016          	|  0.00062278     	|
|  [LightningModule]Toymodel.lr_scheduler_step                                                                                                                            	|  0.00032        	|  50             	|  0.016          	|  0.00062278     	|
|  [LightningModule]Toymodel.on_before_batch_transfer                                                                                                                     	|  7.6134e-07     	|  19702          	|  0.015          	|  0.00058386     	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                    	|  7.4257e-05     	|  202            	|  0.015          	|  0.00058386     	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_start     	|  7.6923e-07     	|  19500          	|  0.015          	|  0.00058386     	|
|  [LightningModule]Toymodel.on_after_backward                                                                                                                            	|  7.6923e-07     	|  19500          	|  0.015          	|  0.00058386     	|
|  [LightningModule]Toymodel.on_before_optimizer_step                                                                                                                     	|  7.6923e-07     	|  19500          	|  0.015          	|  0.00058386     	|
|  [LightningModule]Toymodel.configure_callbacks                                                                                                                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.prepare_data                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.setup                                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.setup                                                                                                                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.setup                                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.configure_sharded_model                                                                                                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.configure_optimizers                                                                                                                         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_fit_start                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_fit_start                                                                                                                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_fit_start             	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_fit_start                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_sanity_check_start                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_sanity_check_start                                                                                                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_sanity_check_start    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_start                                                                                                                             	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_start      	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_validation_start                                                                                                                          	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [Strategy]SingleDeviceStrategy.on_validation_start                                                                                                                     	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_validation_epoch_start                                                                                                                    	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_epoch_start                                                                                                                       	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_epoch_start	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_batch_start                                                                                                                       	|  0.0            	|  202            	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_batch_start	|  0.0            	|  202            	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_validation_batch_start                                                                                                                    	|  0.0            	|  202            	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_batch_end                                                                                                                         	|  0.0            	|  202            	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_batch_end  	|  0.0            	|  202            	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_validation_batch_end                                                                                                                      	|  0.0            	|  202            	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_validation_epoch_end                                                                                                                      	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_epoch_end                                                                                                                         	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_epoch_end  	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_validation_epoch_end                                                                                                                      	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_end                                                                                                                               	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_validation_end                                                                                                                            	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [Strategy]SingleDeviceStrategy.on_validation_end                                                                                                                       	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_validation_model_train                                                                                                                    	|  0.0            	|  11             	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_sanity_check_end                                                                                                                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_sanity_check_end                                                                                                                             	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_sanity_check_end      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_train_start                                                                                                                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_train_start                                                                                                                                  	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_start           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_train_start                                                                                                                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Strategy]SingleDeviceStrategy.on_train_start                                                                                                                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                         	|  0.0            	|  50             	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_train_epoch_start                                                                                                                            	|  0.0            	|  50             	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_start     	|  0.0            	|  50             	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_train_epoch_start                                                                                                                         	|  0.0            	|  50             	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_before_zero_grad                                                                                                                          	|  0.0            	|  19500          	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_before_optimizer_step                                                                                                                     	|  0.0            	|  19500          	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_optimizer_step 	|  0.0            	|  19500          	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_train_epoch_end                                                                                                                              	|  0.0            	|  50             	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_train_epoch_end                                                                                                                           	|  0.0            	|  50             	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.0            	|  50             	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_save_checkpoint                                                                                                                           	|  0.0            	|  10             	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_save_checkpoint                                                                                                                              	|  0.0            	|  10             	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_save_checkpoint       	|  0.0            	|  10             	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_save_checkpoint                                                                                                                           	|  0.0            	|  10             	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_train_end                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_train_end                                                                                                                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_end             	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_train_end                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Strategy]SingleDeviceStrategy.on_train_end                                                                                                                            	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_fit_end                                                                                                                                   	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_fit_end                                                                                                                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_fit_end               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_fit_end                                                                                                                                   	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.teardown                                                                                                                                     	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.teardown                                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.teardown                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.teardown                                                                                                                                     	|  0.0            	|  1              	|  0.0            	|  0.0            	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
