step,Cov_batch_ik_10_emb
49,1.6728472709655762
99,1.6111562252044678
149,1.596858024597168
199,1.4831013679504395
249,1.4229846000671387
299,1.29433274269104
349,1.2324824333190918
399,1.1747848987579346
449,1.126178503036499
499,1.004960536956787
549,0.8955436944961548
599,0.9273346662521362
649,0.8092529773712158
699,0.7879805564880371
749,0.6686956882476807
799,0.6672241687774658
849,0.6440125703811646
899,0.5766420364379883
949,0.5588303208351135
999,0.4977160692214966
1049,0.4611482620239258
1099,0.42883697152137756
1149,0.44348251819610596
1199,0.37290745973587036
1249,0.3535010814666748
1299,0.3251480460166931
1349,0.31329816579818726
1399,0.29767316579818726
1449,0.27796322107315063
1499,0.2539199888706207
1549,0.23197561502456665
1599,0.213789701461792
1649,0.2011149823665619
1699,0.1969144642353058
1749,0.1802099347114563
1799,0.17094220221042633
1849,0.1595419943332672
1899,0.1392938792705536
1949,0.12390464544296265
1999,0.11924788355827332
2049,0.1135140210390091
2099,0.10782306641340256
2149,0.09771500527858734
2199,0.09699016809463501
2249,0.08871366083621979
2299,0.07982200384140015
2349,0.07643219828605652
2399,0.07186135649681091
2449,0.06525997817516327
2499,0.0609096884727478
2549,0.058466047048568726
2599,0.05594511330127716
2649,0.05317000299692154
2699,0.052198365330696106
2749,0.0437995120882988
2799,0.04485092684626579
2849,0.04301728680729866
2899,0.039494309574365616
2949,0.039561063051223755
2999,0.038826845586299896
3049,0.03379491716623306
3099,0.03488379716873169
3149,0.03439436852931976
3199,0.029988611117005348
3249,0.02823297306895256
3299,0.026585783809423447
3349,0.02516249008476734
3399,0.022870749235153198
3449,0.02419069968163967
3499,0.021153640002012253
3549,0.020466499030590057
3599,0.019486181437969208
3649,0.018310729414224625
3699,0.017985546961426735
3749,0.017368843778967857
3799,0.01566004380583763
3849,0.015000203624367714
3899,0.013933513313531876
3949,0.013576071709394455
3999,0.012212383560836315
4049,0.012432042509317398
4099,0.01115606538951397
4149,0.0104117002338171
4199,0.009775068610906601
4249,0.008991481736302376
4299,0.008515103720128536
4349,0.00786510482430458
4399,0.0068355766125023365
4449,0.006899000145494938
4499,0.006317708641290665
4549,0.005794936791062355
4599,0.005540161393582821
4649,0.0046800728887319565
4699,0.004969605710357428
4749,0.004549391567707062
4799,0.004434769973158836
4849,0.00406867079436779
4899,0.003574316157028079
4949,0.0034179752692580223
4999,0.003079483285546303
5049,0.0028586150147020817
5099,0.002673893701285124
5149,0.0025225472636520863
5199,0.002327283378690481
5249,0.0022014700807631016
5299,0.0020377528853714466
5349,0.0019404657650738955
5399,0.0017577990656718612
5449,0.001596558140590787
5499,0.0014630682999268174
5549,0.0013362005120143294
5599,0.0013070192653685808
5649,0.0011801361106336117
5699,0.0011163896415382624
5749,0.0010801241733133793
5799,0.0009321403340436518
5849,0.0008791745640337467
5899,0.0008133490337058902
5949,0.0007928372360765934
5999,0.0007329417276196182
6049,0.0006711440510116518
6099,0.000636723474599421
6149,0.0006043800385668874
6199,0.0005576152470894158
6249,0.000518188055139035
6299,0.0004912866861559451
6349,0.00044439014163799584
6399,0.0004242310533300042
6449,0.0003980975307058543
6499,0.00037923280615359545
6549,0.0003492655814625323
6599,0.00033988815266638994
6649,0.00031037823646329343
6699,0.0002897056983783841
6749,0.000274504825938493
6799,0.00024455797392874956
6849,0.0002345734683331102
6899,0.000228402903303504
6949,0.00020427301933523268
6999,0.00019205041462555528
7049,0.00018108615768142045
7099,0.00016957744082901627
7149,0.00016311714716721326
7199,0.00015539058949798346
7249,0.00014473588089458644
7299,0.00013596939970739186
7349,0.0001294477842748165
7399,0.00012410595081746578
7449,0.0001141307147918269
7499,0.00011102747521363199
7549,0.00010437234595883638
7599,0.00010004666546592489
7649,9.721294918563217e-05
7699,9.056890849024057e-05
7749,8.815737965051085e-05
7799,8.594265091232955e-05
7849,8.191046072170138e-05
7899,7.9500547144562e-05
7949,7.409056706819683e-05
7999,7.459284097421914e-05
8049,7.095776527421549e-05
8099,7.070288847899064e-05
8149,6.68169159325771e-05
8199,6.81936799082905e-05
8249,6.100043538026512e-05
8299,5.8842859289143234e-05
8349,5.856565258000046e-05
8399,5.4642645409330726e-05
8449,5.432488251244649e-05
8499,5.495366349350661e-05
8549,5.470458563650027e-05
8599,5.035128560848534e-05
8649,5.001660974812694e-05
8699,4.899704072158784e-05
8749,4.725877079181373e-05
8799,4.707521657110192e-05
8849,4.500852810451761e-05
8899,4.4334359699860215e-05
8949,4.1025567043107e-05
8999,4.0730625187279657e-05
9049,4.106359847355634e-05
9099,3.98370684706606e-05
9149,3.908678991138004e-05
9199,3.869873398798518e-05
9249,3.934742562705651e-05
9299,3.579694384825416e-05
9349,3.599216870497912e-05
9399,3.4319535188842565e-05
9449,3.418726191739552e-05
9499,3.431523509789258e-05
9549,3.387533797649667e-05
9599,3.2472031307406723e-05
9649,3.3181779144797474e-05
9699,3.056895366171375e-05
9749,3.107006341451779e-05
9799,2.9470702429534867e-05
9849,2.9918037398601882e-05
9899,3.056721470784396e-05
9949,2.982711885124445e-05
9999,2.9800647098454647e-05
10049,3.0201645131455734e-05
10099,2.9546794394263998e-05
10149,2.9179198463680223e-05
10199,2.9936090868432075e-05
10249,2.8173652026453055e-05
10299,2.7388869057176635e-05
10349,2.69557331193937e-05
10399,2.6396513931103982e-05
10449,2.6464536858838983e-05
10499,2.5282224669354036e-05
10549,2.499595211702399e-05
10599,2.4251472495961934e-05
10649,2.3887087081675418e-05
10699,2.477217094565276e-05
10749,2.468374077579938e-05
10799,2.427728395559825e-05
10849,2.4363198463106528e-05
10899,2.328998380107805e-05
10949,2.3486962163588032e-05
10999,2.2931984858587384e-05
11049,2.3170206986833364e-05
11099,2.3016596969682723e-05
11149,2.2487478418042883e-05
11199,2.3008404241409153e-05
11249,2.2927404643269256e-05
11299,2.2331951186060905e-05
11349,2.109085107804276e-05
11399,2.1058898710180074e-05
11449,2.0669227524194866e-05
11499,1.9946881366195157e-05
11549,2.0505378415691666e-05
11599,1.9983219317509793e-05
11649,2.0149916963418946e-05
11699,1.936261833179742e-05
11749,1.969089498743415e-05
11799,1.8732596799964085e-05
11849,1.792957482393831e-05
11899,1.8309470760868862e-05
11949,1.8067032215185463e-05
11999,1.880522904684767e-05
12049,1.8768572772387415e-05
12099,1.8909877326223068e-05
12149,1.8215258023701608e-05
12199,1.827949017751962e-05
12249,1.8521368474466726e-05
12299,1.8061862647300586e-05
12349,1.8728236682363786e-05
12399,1.8172642739955336e-05
12449,1.819090175558813e-05
12499,1.768868969520554e-05
12549,1.7662770915194415e-05
12599,1.834633803809993e-05
12649,1.7023725376930088e-05
12699,1.6956264516920783e-05
12749,1.6625539501546882e-05
12799,1.71738320204895e-05
12849,1.672827966103796e-05
12899,1.6015175788197666e-05
12949,1.6057378161349334e-05
12999,1.63911627169e-05
13049,1.6053880244726315e-05
13099,1.6269197658402845e-05
13149,1.654992956900969e-05
13199,1.5984816855052486e-05
13249,1.576494105393067e-05
13299,1.5209098819468636e-05
13349,1.5167553101491649e-05
13399,1.5508838259847835e-05
13449,1.5368565073003992e-05
13499,1.521701597084757e-05
13549,1.5083427570061758e-05
13599,1.4814634596405085e-05
13649,1.5113584595383145e-05
13699,1.4726027075084858e-05
13749,1.4247811122913845e-05
13799,1.4444694897974841e-05
13849,1.3909444533055648e-05
13899,1.4166969776852056e-05
13949,1.3795343875244725e-05
13999,1.3731729268329218e-05
14049,1.4044166164239869e-05
14099,1.3708742699236609e-05
14149,1.390997931594029e-05
14199,1.3548033166443929e-05
14249,1.3851558833266608e-05
14299,1.3258408216643147e-05
14349,1.3483330803865101e-05
14399,1.3512053556041792e-05
14449,1.2867465557064861e-05
14499,1.3313228919287212e-05
14549,1.2994951248401776e-05
14599,1.2958743354829494e-05
14649,1.262610840058187e-05
14699,1.2369181604299229e-05
14749,1.2434840755304322e-05
14799,1.245939711225219e-05
14849,1.2594977306434885e-05
14899,1.2261692972970195e-05
14949,1.2586189768626355e-05
14999,1.2215667084092274e-05
15049,1.2152093404438347e-05
15099,1.2227333172631916e-05
15149,1.1978214388363995e-05
15199,1.165278172265971e-05
15249,1.1393991371733136e-05
15299,1.1817437552963383e-05
15349,1.166197944257874e-05
15399,1.1959011317230761e-05
15449,1.1648649888229556e-05
15499,1.1683447155519389e-05
15549,1.1404086762922816e-05
15599,1.1716302651620936e-05
15649,1.132745819631964e-05
15699,1.17227482405724e-05
15749,1.1317079952277709e-05
15799,1.1624913895502687e-05
15849,1.1264964996371418e-05
15899,1.1289967005723156e-05
15949,1.076026092050597e-05
15999,1.1001045095326845e-05
16049,1.0897173524426762e-05
16099,1.1056872608605772e-05
16149,1.0631172699504532e-05
16199,1.0743938219093252e-05
16249,1.0793124602059834e-05
16299,1.0654136531229597e-05
16349,1.0695392120396718e-05
16399,1.0173890586884227e-05
16449,1.0598315384413581e-05
16499,1.0649994692357723e-05
16549,1.0306696822226513e-05
16599,9.937877621268854e-06
16649,1.0562875104369596e-05
16699,1.0350888260290958e-05
16749,1.0185487553826533e-05
16799,1.0077300430566538e-05
16849,1.0413783456897363e-05
16899,1.0227196071355138e-05
16949,1.0149734407605138e-05
16999,9.87976454780437e-06
17049,1.010075538943056e-05
17099,1.0215711881755851e-05
17149,1.0095212928717956e-05
17199,1.0002117051044479e-05
17249,1.0008843673858792e-05
17299,9.594087714503985e-06
17349,1.0003888746723533e-05
17399,9.761814908415545e-06
17449,9.843319276114926e-06
17499,9.422886250831652e-06
17549,9.877915545075666e-06
17599,9.552093615639023e-06
17649,9.416684406460263e-06
17699,9.65711660683155e-06
17749,9.70396285993047e-06
17799,9.829759619606193e-06
17849,9.644534657127224e-06
17899,9.68392487266101e-06
17949,9.568648238200694e-06
17999,9.468789357924834e-06
18049,9.77531453827396e-06
18099,9.441346264793538e-06
18149,9.748080628924072e-06
18199,9.521854735794477e-06
18249,9.625775419408455e-06
18299,9.706935998110566e-06
18349,9.550705726724118e-06
18399,9.615187082090415e-06
18449,9.492214303463697e-06
18499,9.335928552900441e-06
18549,9.622979632695206e-06
18599,9.434695130039472e-06
18649,9.630535714677535e-06
18699,9.568270797899459e-06
18749,9.408256119058933e-06
18799,9.479326763539575e-06
18849,9.751349352882244e-06
18899,9.20770617085509e-06
18949,9.530834176985081e-06
18999,9.298280929215252e-06
19049,9.384804798173718e-06
19099,9.536429388390388e-06
19149,9.442739610676654e-06
19199,9.383980795973912e-06
19249,9.43394479691051e-06
19299,9.525339919491671e-06
19349,9.359308023704216e-06
19399,9.583258361089975e-06
19449,9.315879651694559e-06
19499,9.365659934701398e-06
