step,Cov_batch_ik_00
49,1.5519103158112557e-07
99,1.9716039787454065e-06
149,1.0105150977324229e-05
199,1.4410022231459152e-05
249,3.1039035093272105e-05
299,5.171584416530095e-05
349,4.563743277685717e-05
399,6.543345079990104e-05
449,8.098110993159935e-05
499,8.997212717076764e-05
549,6.520934402942657e-05
599,0.00010259265400236472
649,8.368799899471924e-05
699,7.990177255123854e-05
749,0.00010747490159701556
799,8.850490121403709e-05
849,7.58453388698399e-05
899,7.385385106317699e-05
949,6.936929275980219e-05
999,6.467868661275133e-05
1049,5.980496644042432e-05
1099,5.58642677788157e-05
1149,4.97953878948465e-05
1199,4.090697257197462e-05
1249,4.886181341134943e-05
1299,3.965009091189131e-05
1349,3.32183190039359e-05
1399,3.4413027606206015e-05
1449,3.3221720514120534e-05
1499,3.20224862662144e-05
1549,3.144881338812411e-05
1599,2.6170380806433968e-05
1649,2.0885812773485668e-05
1699,2.0869632862741128e-05
1749,1.7125588783528656e-05
1799,1.9422897821641527e-05
1849,1.8559831005404703e-05
1899,1.6668269381625578e-05
1949,1.619825343368575e-05
1999,1.5164305295911618e-05
2049,1.4093613572185859e-05
2099,1.3852246411261149e-05
2149,1.1149811143695842e-05
2199,1.1100783922302071e-05
2249,1.1233701115997974e-05
2299,9.30070109461667e-06
2349,9.088911610888317e-06
2399,8.11649442766793e-06
2449,7.614732567162719e-06
2499,7.295554951269878e-06
2549,7.023610123724211e-06
2599,6.64574099573656e-06
2649,6.10846609561122e-06
2699,5.616193902824307e-06
2749,4.7672083383076824e-06
2799,5.5711552704451606e-06
2849,4.654250460589537e-06
2899,4.494387212616857e-06
2949,4.640190127247479e-06
2999,3.793063342527603e-06
3049,3.6858511975879082e-06
3099,3.704107257362921e-06
3149,3.586263801480527e-06
3199,3.3147625799756497e-06
3249,3.2415982786915265e-06
3299,3.1506742743658833e-06
3349,2.842858975782292e-06
3399,2.44260513682093e-06
3449,2.6501800221012672e-06
3499,2.5793567601795075e-06
3549,2.5087410904234275e-06
3599,2.245822088298155e-06
3649,2.426659420962096e-06
3699,2.39349651565135e-06
3749,2.131226210622117e-06
3799,2.0726195089082466e-06
3849,1.7889377659230377e-06
3899,1.926112872752128e-06
3949,1.7204597497766372e-06
3999,1.4945145494493772e-06
4049,1.482536845287541e-06
4099,1.4078398180572549e-06
4149,1.6545378684895695e-06
4199,1.3729463717027102e-06
4249,1.2819858739021583e-06
4299,1.397433379679569e-06
4349,1.2980482324564946e-06
4399,1.115035615839588e-06
4449,1.0783088555399445e-06
4499,9.693891342976713e-07
4549,9.565587788529228e-07
4599,1.0052293646367616e-06
4649,9.894470167637337e-07
4699,7.856889396862243e-07
4749,8.145507877088676e-07
4799,8.078338282757613e-07
4849,7.827424610695743e-07
4899,7.585663297504652e-07
4949,7.263668635459908e-07
4999,7.619185566909437e-07
5049,6.757704227311478e-07
5099,6.945788300072309e-07
5149,6.347376029225416e-07
5199,6.603728479603888e-07
5249,6.411297022168583e-07
5299,5.876024715689709e-07
5349,5.209760161051236e-07
5399,5.141391739016399e-07
5449,5.536523417504213e-07
5499,5.771210567218077e-07
5549,5.526826498680748e-07
5599,5.505478952727572e-07
5649,5.422825211098825e-07
5699,5.44491683740489e-07
5749,5.078180151940614e-07
5799,5.07678123540245e-07
5849,5.075530111753324e-07
5899,4.929873398396012e-07
5949,4.1332668843097053e-07
5999,4.7039259243319975e-07
6049,3.9255726846931793e-07
6099,3.947185689412436e-07
6149,3.357218929522787e-07
6199,3.2808972605380404e-07
6249,3.5375498441680975e-07
6299,3.5587260072134086e-07
6349,3.5220722338635824e-07
6399,3.1508980669059383e-07
6449,3.0620162760897074e-07
6499,3.0750538826396223e-07
6549,3.4572440199553967e-07
6599,3.358750007009803e-07
6649,2.840446313712164e-07
6699,2.877169151815906e-07
6749,3.0771272463425703e-07
6799,2.651725026225904e-07
6849,2.8816418762289686e-07
6899,2.3379166691483988e-07
6949,2.379563284193864e-07
6999,2.251272945841265e-07
7049,2.366302993550562e-07
7099,2.1820719098286645e-07
7149,2.1559779384006106e-07
7199,2.109403709482649e-07
7249,1.7649095696015138e-07
7299,1.7610464908557333e-07
7349,1.6213712683565973e-07
7399,1.696430871334087e-07
7449,1.7625838211188238e-07
7499,1.7728063994582044e-07
7549,1.820867083779376e-07
7599,1.7314104638899153e-07
7649,1.664788698008124e-07
7699,1.5185098334313807e-07
7749,1.525702373328386e-07
7799,1.5221264959563996e-07
7849,1.3726591419072065e-07
7899,1.2495272017076786e-07
7949,1.4714161977735785e-07
7999,1.4262951708587934e-07
8049,1.2544238359168958e-07
8099,1.2994588871606538e-07
8149,1.1942179867219238e-07
8199,1.3278325639021205e-07
8249,1.160275502343211e-07
8299,1.1079027473215319e-07
8349,9.92828788071165e-08
8399,1.1913790132211943e-07
8449,1.0229456393062719e-07
8499,1.0994263277552818e-07
8549,1.0328972166462336e-07
8599,1.0293643271097608e-07
8649,1.0672028594171934e-07
8699,1.1219764672887322e-07
8749,9.735364869811747e-08
8799,9.914168686009361e-08
8849,9.659665067829337e-08
8899,9.720619686959253e-08
8949,9.162963010567182e-08
8999,9.296599756680735e-08
9049,8.585652722103987e-08
9099,9.341455609046534e-08
9149,8.106883342406945e-08
9199,7.965217463379304e-08
9249,6.732408763809872e-08
9299,7.553769165724589e-08
9349,8.322713540565019e-08
9399,6.87991885683914e-08
9449,7.031331250573203e-08
9499,6.129372565055746e-08
9549,6.306751032525426e-08
9599,6.457264589698752e-08
9649,5.6517379221077135e-08
9699,6.438772715000596e-08
9749,6.137305774700508e-08
9799,6.660230411625889e-08
9849,5.940383829283746e-08
9899,5.592382024133258e-08
9949,5.56714674360137e-08
9999,5.232700317492345e-08
10049,5.1386841448675113e-08
10099,5.249907175652879e-08
10149,4.490586391625584e-08
10199,4.8580325540115155e-08
10249,5.0712991139789665e-08
10299,4.592031999095525e-08
10349,4.555921506721461e-08
10399,3.8230176357956225e-08
10449,4.551088395032821e-08
10499,4.254235719258759e-08
10549,4.153261201622627e-08
10599,4.288281019171336e-08
10649,3.8739784713470726e-08
10699,3.652660041097988e-08
10749,3.4582654961923254e-08
10799,3.5439715162510765e-08
10849,3.513089197326735e-08
10899,3.7837278199504e-08
10949,3.0882965518230776e-08
10999,2.940120680250402e-08
11049,3.532542436346375e-08
11099,3.146708849044444e-08
11149,3.1773222275433e-08
11199,3.183957275609828e-08
11249,3.183595964628694e-08
11299,2.7435845595391584e-08
11349,2.8699780330043723e-08
11399,2.938184273659772e-08
11449,2.6787619233914484e-08
11499,3.051677666121577e-08
11549,2.8647075822618717e-08
11599,2.756440231621582e-08
11649,2.3917946734286488e-08
11699,2.327015558023504e-08
11749,2.5806357939472946e-08
11799,2.376869190356956e-08
11849,2.1203284461535077e-08
11899,2.2737367544323206e-08
11949,2.1119770821087513e-08
11999,2.1863003851763096e-08
12049,2.2656307052670854e-08
12099,2.144335731202318e-08
12149,2.0632990427316145e-08
12199,2.1107444680978915e-08
12249,1.9312288657147292e-08
12299,1.7616267555808918e-08
12349,1.9438830989315647e-08
12399,1.7149867304055988e-08
12449,1.7469508506451348e-08
12499,1.609183364337241e-08
12549,1.5712730672134967e-08
12599,1.5993213864362588e-08
12649,1.6256667123570878e-08
12699,1.6101289190828538e-08
12749,1.53528283419746e-08
12799,1.3830678824433562e-08
12849,1.3069412219124388e-08
12899,1.385103498563467e-08
12949,1.2873874410956887e-08
12999,1.3453596459100936e-08
13049,1.3629259498770807e-08
13099,1.249729653096665e-08
